País;Codigo Legenda;Texto
Brasil;*Bra_cyber *legenda_1;Essas eram as exigências contratuais impostas a uma professora no ano de 1923. Não podia casar, nem andar na companhia de homens que não fossem da família. Não podia fumar, beber, e nem sair de casa entre as 8 da noite e às 6 da manhã. Quando te perguntarem porque o feminismo é importante, tá aqui uma ótima imagem pra mostrar.
Brasil;*Bra_cyber *legenda_2;De onde vem a ideia de que as mulheres são responsáveis por todos os serviços_relacionados_ao_lar? Ao longo dos séculos, as sociedades que se formaram sob um sistema_patriarcal naturalizaram os papéis_de_gênero, que determinaram espaços e funções para homens e mulheres. Assim, mulheres acabaram condicionadas ao espaço privado, e sobre elas recaíram todas as responsabilidades_domésticas. A reprodução dos padrões_patriarcais é milenar, mas com o surgimento dos movimentos_feministas, outros lugares passaram a ser reivindicados na esfera pública e esse acesso tem sido ampliado. Porém, a responsabilidade pelos trabalhos_do_lar continua sendo quase que exclusivamente das mulheres, que acumulam duplas ou triplas jornadas_de_trabalho para dar conta de algo criado e imposto a elas. MULHERES NÃO NASCEM COM UM DOM NATURAL AS QUESTÕES_DO_LAR, ISSO É UMA INVENÇÃO_PATRIARCAL. Não há justificativas para que mulheres continuem sendo as únicas responsáveis pelos afazeres_domésticos! Limpar a própria sujeira, cozinhar a própria comida, são atividades de ADULTOS FUNCIONAIS.
Brasil;*Bra_cyber *legenda_3;Isso que chamam de amor é trabalho não pago, Silvia Federici. Te ensinaram que por nascer mulher você tinha algumas missões pré_determinadas: cuidar, cozinhar, limpar, lavar, servir, parir, educar, passar. Para a autora Silvia Federicci o trabalho_doméstico é o mais importante da sociedade, pois dá origem aos trabalhadores, e sem eles, não há trabalho. Assim fica mais fácil de entender o motivo do estabelecimento dessas missões de vida impostas as mulheres e o quanto isso se interliga com a própria estrutura do sistema_capitalista. Deram um tom místico ao trabalho_doméstico exercido pelas mulheres, fizeram que acreditassem que esse trabalho é afeto e cuidado, para exercer controle sobre a reprodução de novos trabalhadores aptos a girar a roda capitalista.
Brasil;*Bra_cyber *legenda_4;Para refletir. A ideia não é julgar quem se adequa cotidianamente ao padrão_de_beleza. A ideia é pensarmos o que você ganha por não se adequar. E claro que tem muitas mulheres que são obrigadas a usar maquiagem e outros itens_de_beleza pelas empresas onde trabalham, o que é um absurdo, porque o mesmo não é exigido de homens, e dificilmente as empresas pagam os produtos e o tempo que essas mulheres passam aplicando a maquiagem, fazendo as unhas e etc. E se pagarem, vai ser mais vantajoso contratar homens.
Brasil;*Bra_cyber *legenda_5;Percebendo isso entendemos como foi criada a cultura de que o casamento é a coisa mais importante na vida de uma mulher. Os homens podiam tratar as esposas de qualquer jeito, porque elas não podiam se separar.
Brasil;*Bra_cyber *legenda_6;Se o cara diz a mulher não pode ter ficado com muitos caras se quiser casar, pode ter certeza que não se garante. Ele só não quer que ela tenha referências e experiência.
Brasil;*Bra_cyber *legenda_7;Texto importante. Foi só a mexicana Damia entrar no BBB_23 que a gente assistiu ao maior exemplo de como mulheres são tratadas como pedaço_de_carne. Ela foi definitivamente cercada. Guimê e Sapato disputaram quem colocaria Damia em uma pior situação de assédio. Um tocou o corpo_da_mulher de todas as formas que conseguiu, e não parou mesmo diante dos alertas de outras mulheres. Outro, usou a força para a segurar em um beijo que ela não quis, em abraços e carinhos que ela não teve condições de negar. Guimê, casado, expõe a esposa Lexa, aqui fora, ao constrangimento de lidar com uma responsabilidade que não é dela, com a culpabilização por ter confiado em um homem que estaria cercado por câmeras e mesmo assim não se intimidou ao assediar. Mais uma mulher. Nós sabemos que não haverá expulsão por assédio, assim como não houve por racismo e intolerância_religiosa. Mas fica a reflexão sobre as consequências dessas reproduções criminosas em cadeia nacional. Às vezes parece que o BBB é um espaço com licença para o cometimento de crimes.
Brasil;*Bra_cyber *legenda_8;O conto da maturidade_precoce das mulheres só serve pra que sejam abusadas e exploradas pelo patriarcado. Enquanto muitos meninos tem a chance de viver a infância de forma saudável, meninas já se veem empurradas para um falso lugar de maturidade. Isso faz parte do que chamamos de cultura_da_pedofilia, e combater a objetificação e a erotização_precoce das meninas é luta_feminista.
Brasil;*Bra_cyber *legenda_9;Não há justificativas. O assédio parte do pressuposto de que o homem tem o direito de tocar na mulher que está em público. Isso porque, por muito tempo o corpo_da_mulher foi visto como pertencente ao ambiente privado, do lar e da família. A mulher que trabalha onde quer, e conquista o espaço público passa a ser vista como propriedade pública, e então não há problema em a tocar, afinal, é só uma brincadeira. Só que essa visão_patriarcal anda balançando porque não aceitamos mais esta condição de abuso. Vamos denunciar e fazer barulho toda vez que acontecer. Serão presos, serão expostos, até que mudem a contragosto.
Brasil;*Bra_cyber *legenda_10;Nudez não necessariamente é empoderadora, mas também não necessariamente serve ao patriarcado. Vi algumas páginas feministas dizendo nudez não é empoderamento, e vim aqui explicar que depende, porque pode ser útil num empoderamento individual, que passa a afetar o coletivo à medida que mulheres se libertam do ódio ao próprio corpo ou da objetificação dele. Como é a sua relação com a nudez? A ideia aqui não é julgar quem ainda está presa na aprovação_masculina, já que todos nascemos nessa cultura e estamos em processo de desconstrução constante. Também não quero estimular menores a sair por aí mostrando o corpo! Por isso falei da nudez em casa, e sei que nem todo mundo terá essa oportunidade pois divide o quarto ou coisa assim. Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com.
Brasil;*Bra_cyber *legenda_11;Em uma sociedade que valoriza mais o corpo_da_mulher do que seu intelecto e capacidade, faz sentido que algumas mulheres queiram usar isso pra adquirir status, se sustentar ou enriquecer. No caso de quem ganha dinheiro se objetificando, se elas têm outras possibilidades de ganhar dinheiro e escolhem fazer isso, podem fazer por não entender porque objetificação é ruim pra todas as mulheres, ou podem realmente não ligar. Mas isso não muda o fato de que imagens de mulheres_objetificadas prejudicam a todas as mulheres.
