País;Codigo Legenda;Texto
Inglaterra;*ing_cyber *legenda_1;not only are we socialised from childhood to make ourselves smaller and other peoples lives easier, even the culture around us demonises characters who impose their desires on others. in romcoms, in particular, being a confident, direct woman is vilified, whether it is the forthright book editor Margaret Tate, played by Sandra Bullock, in the proposal or Sharpay Evans, portrayed by Ashley Tisdale, the sparkly pink diva in high school musical. for years, Amy Beecham, a stylist, was taught that the ultimate goal was being down to earth and low maintenance was the ultimate goal. now, she is discovering that being high maintenance is not the toxic trait we have been told it is.
Inglaterra;*ing_cyber *legenda_2;they call me picky and modern. at one point, i was even told by an aunt to just take the next one that comes. author Shubnumkhan has spent a lifetime fielding questions about why she does not have a partner. it is taught her that society is still uncomfortable with the idea of a woman being single and happy, she writes. ⁠
Inglaterra;*ing_cyber *legenda_3;the number of women attending football matches in the united_kingdom continues to grow, at some games, women make up 25_percent of spectators, but can feel underrepresented and marginalised. this video piece profiles this fan girl,  a community empowering female football fans by capturing the faces, voices, stories and opinions of women who love the beautiful game
Inglaterra;*ing_cyber *legenda_4;the, i go to work and you stay_at_home agreement, is a sham if even when the paid work stop, you are still expected to do all the domestic and reproductive_labour, for six children! men know in their hearts that even getting punch in the head is easier than this and more rewarding. otherwise, more men would be eager to be house husbands.
Inglaterra;*ing_cyber *legenda_5;there is a view that women have less value as they age, while older men become more attractive. in particular, misogynist corners of the internet, there is a myth that women hid the wall at 30 and just completely shrivel up. love island shows that the ridiculous idea that 30 is somehow old has filtered into the mainstream. if you think of the women in your lives, we all look pretty similar at 25, 30, and 35, not much changes! and even when we do change and age, so what, the patriarchy wants women to see aging as a personal failure, instead of a natural process, literal proof of a life lived. to see 30 as the sword of damocles, the absolute thing to fear. the women hitting the wall at thirty propaganda is, of course, a complete fairytale. it is a lie propagated to comfort the bitter men. they want to scare women into settling for whatever relationship they are in in their 20s. to settle for less. they want women to think that they are less worthy in their 30s and 40s, which also just so happen to be the ages when they are growing in confidence, financial security, experience, and wisdom. at the same time, men like to convince themselves that they are much more worthy as they age, so of course it is totally fine and not creepy when they are 50 years old hitting on women in their 20s. as women age, they become more themselves and take up more space, and that terrifies some men.
Inglaterra;*ing_cyber *legenda_6;happy women history month! throughout history, discoveries, inventions made by women have been overlooked or completely disregarded, by both the men who took credit for them and those who wrote the history books. when you consider the barriers and oppression these women had to overcome to gain the education, resources, time and access to the equipment needed for these discoveries, these omissions are even more egregious. the idea of one man revolutionising history through his special genius is a false narrative, created by men who wish to paint themselves that way. the story of discoveries and intervention is more often than not one of teams, teams building on the work of people that have gone before them, teams that include women, and benefit from the labour and work of women. also sometimes men just straight steal the work of women, they get away with it because the structural power is on their side. so let us give these incredible women to long overdue credit they deserve. even if we can not give them the nobels they deserve
Inglaterra;*ing_cyber *legenda_7;when i was growing up, i felt excluded from skateparks and football pitches and traditionally male outdoor areas. when my friends and i went to the skatepark, we were told to leave on multiple occasions by boys. after a while we just stopped showing up. a recent study by the royal institute of british architects highlighted research that found 80_percent of the people who use outdoor spaces and equipment for young people are male. academics from the department of educational studies at goldsmiths university, gave evidence to the inquiry and said girls are not given the access to community spaces that boys are. and added that they feel they do not have a right to use skateparks, while often equipment is built with the default male user in mind, so the height of equipment is often set too high. i am learning how to skate in my late 20, and even i find this is still the case. i am trying to reclaim some of those spaces, and have been learning to skate for about a year and a half now. while things are definitely changing for the better, it seems they are not changing quickly enough. public space, and recreational spaces should be equal and accessible to all. it is incredibly sad that in 2024 girls still feel that they do not have access or are able to be in these spaces. these studies are also rarely inclusive of the experiences of gender non conforming and trans kids, who surely have an even tougher barriers to accessing these spaces. the charity make space for girls is trying to address and change this, but we need more investment funding and urgency into democratising and creating spaces that are not restricted by gender.
Inglaterra;*ing_cyber *legenda_8;if yesterday has highlighted anything, it is the grim reality of how dangerous male entitlement can be. the root cause of this is misogyny. it is patriarchy. it is sexism repackaged as being a better or real man, by toxic social_media influencers. it is social_media companies themselves allowing this content to be eaten up, unchallenged. it is an entire society that turns a blind eye to the cause of violence towards women and girls. none of these problems are new, they have just repeatedly been left to fester, morph and grow until we are at a place where a high profile public figure can come on live tv and make misogynistic remarks about a woman, and the next day lament the death of a 15 year old girl by a boy, and not see how those actions are connected. misogyny breeds violence. it is never just a comment, banter, a joke, it is a culture that enables women to be seen as less than men. as disposable, without agency. we did not need to have this horrific wake up call. it should not  take the violent death of a teenage girl for society to listen. misogyny should be treated with the same severity as any other form of terror and violence. this is not something women should have to put up with anymore.
Inglaterra;*ing_cyber *legenda_9;i had just started working as an administrator for a car dealership. as you can imagine, it was 90_percent male and lad culture was rife. the daily remarks on my appearance ranged from run of the mill compliments, for example, you look nice to the graphic, that is, speculating about how i would be in bed, commenting on my figure in lewd detail, in short they began to wear thin very quickly. one day, i was on my lunch break and stood outside in the staff car park which was in the back. i was on the phone to my boyfriend, pacing between two cars as we chatted and then i paused to rest. out of nowhere, i felt an aggressive squeeze on my bum, i turned around and one of the drivers, who was weeks away from his retirement, just smiled and winked at me. i was so shocked that the only words i could seem to say were i am on the phone to my boyfriend! he walked off to the garage without a word or an apology. i reported it to my line manager straight away, he told me this would get really ugly for me and advised me to let it go. his boss, who was on holiday when the incident took place, told me he had expected me to have a sense of humour about the whole thing and said do not be so dramatic. i quit the next day.
Inglaterra;*ing_cyber *legenda_10;in 2023, a year that has already brought to light so many horrific abuses of women and girls, we have now been served yet another reminder that there are still people out there who refuse to treat us with basic respect and dignity.⁠ following a now viral on air misogynistic rant, controversial gb news presenter and political activist Laurence Fox has been formally suspended by the channel after he refused to apologise for asking who would want to shag that? about a female journalist live on air.⁠ this kind of casual misogyny is not  just repulsive playground talk. according to Amy Beecham from stylist, this poses a serious threat to the safety of women. why is it that i would not sleep with you is still considered the ultimate insult for women?
