País;Codigo Legenda;Texto
Moçambique;*mocamb_cyber *legenda_1;A violação_sexual é considerado como qualquer acto ou conduta que tem como objectivo constranger ou obrigar alguém a actos sexuais não desejados nem consentidos, por meio de violência, intimidação ou ameaças. No sistema jurídico Moçambicano a violação_sexual consta na Lei sobre Violência_Doméstica prática contra a Mulher e no Código Penal. No Código Penal, a violação_sexual é retratada no capítulo 7 referente aos Crimes contra a Liberdade Sexual.
Moçambique;*mocamb_cyber *legenda_2;Já parou para pensar senhor violador, quantos traumas irá carregar essa criança?
Moçambique;*mocamb_cyber *legenda_3;INVISTA! O Conhecimento é Poder. Promover programas e acções contínuas viradas para o empoderamento das mulheres e raparigas é contribuir directamente na redução da Violência Baseada no Género (VBG).
Moçambique;*mocamb_cyber *legenda_4;Sabias que no primeiro trimestre de 2023 foram reportados um total de 2.903 casos de violência_doméstica, dos quais, 86 casos foram contra crianças (52 raparigas e 34 rapazes), 2.691 contra adultos (2.258 mulheres e 433 homens) e 126 contra Idosos (74 mulheres e 52 homens), equivalentes a 3 porcento, 92.7 porcento e 4.3 porcento, respectivamente. Espelhando apenas uma pequena porção dos casos tramitados pelo Departamento de Atendimento às Vítimas de Violência, estes dados espelham o quão a mulher continua a maior vítima representando 86.2 porcento das vítimas entre adultos. Apesar da aprovação da lei 29/2009 de 29 de Setembro e da criação do Mecanismo Multissectorialde Atendimento à Mulher Vítima de Violência em 2012, o extremismo violento têm estado a ganhar corpo incluindo nos discursos das redes sociais e as mulheres tendem a ser novamente culpabilizadas pela violência que sofrem. (Fonte. DAFMVV 2023)
Moçambique;*mocamb_cyber *legenda_5;Teve no dia 02 de Dezembro na Cidade de Maputo, o Fórum Anual do Gabinete da Mulher Parlamentar. Na ocasião, as mulheres parlamentares apresentaram o portal do Barómetro das Mulheres no seu relatório de trabalho anual. Paralelamente, ao Observatório das Mulheres foi conferido um espaço para abordar a temática: Barómetro das Mulheres e a situação da Violência: o que as mulheres esperam das Parlamentares?. Durante a apresentação foram partilhadas estatísticas de violência doméstica e sexual referentes ao ano 2022 bem como casos de feminicídio, desaparecimento de mulheres, expropriação de terras, troca de donativos por sexo,  violência_doméstica física e patrimonial, violência_sexual, acusações de feitiçaria contra idosas, violência_económica, situação da mulher reclusa, violência em que o perpetrador usa do poder político para assegurar impunidade vs. a situação da representatividade das mulheres. Na sequência, foi sugerido um maior engajamento das mulheres parlamentares para servirem de ponte e voz das mulheres Moçambicanas quer através de seguimento dos casos e visitas às vítimas, quer através de diálogos periódicos públicos e abertos com o movimento da sociedade civil que advoga pelos direitos das mulheres em cada círculo eleitoral. Foram também propostas acções de fiscalização da execução de políticas públicas e uma auditoria a eficácia da lei sobre a violência doméstica a escala nacional. As Parlamentares receberam com apreço, reconheceram os desafios, fizeram compromissos e sublinharam que o homem parlamentar deve também fazer parte deste diálogo porque é por vezes parte do problema. O evento, presidido pela Presidente da Assembleia da República, Dra. Esperança Bias, contou igualmente com a presença da Ministra do Género, Criança e Acção Social, bem como de parceiros.
Moçambique;*mocamb_cyber *legenda_6;O Aborto! Minha barriga era toda lindinha, mas eu não podia ter esta criança! Hoje minha memória oscila entre o momento de alegria em tocar na minha barriga e a dor que senti ao ter de tirar de mim o que antes no amor e em gemidos foi semeado no meu ventre. Senti a dor de ouvir o respirar ensanguentado do meu filho dizer adeus, sim era Rapaz! E talvez fosse virar jogador como o pai queria ou cientista como eu tanto sonhava, mas ele veio no momento impróprio, a mãe não tem condições e o pai lhe renegava olha filho vai para junto do seu pai celestial que este da terra não ti aceita, foram estás palavras que disse quando em pranto peguei no feto que merecia todo meu afeto. Hoje os dias são de completa escuridão, quando levanto um sorriso logo a minha mente o quebra no chão e lembra tu és assassina, mas olha eu não quis, foi mesmo uma falha que me atormentara eternamente pois ao dormir sonho com seu grito e lembro que ele olhou para mim antes de fechar eternamente  sua lente. Me perdoe por se alongar tanto é que em minha mente eu devia ter ficado 9 meses com a minha semente. por Letícia Argentina
Moçambique;*mocamb_cyber *legenda_7;Saber Nascer e seus parceiros no âmbito da HUMANIZA MOZ, Campanha_Nacional_de_Prevenção_e_Combate_à_Violência_Obstétrica, realiza o primeiro WORKSHOP NACIONAL DE PREVENÇÃO E COMBATE À VIOLÊNCIA OBSTÉTRICA. O workshop, será realizado no dia 17 de fevereiro.
Moçambique;*mocamb_cyber *legenda_8;Nós mulheres e raparigas gritamos por SOCORRO! Um Estado em que mulheres são assassinadas e não há responsabilização é um Estado Inseguro. De acordo com a Declaração Universal dos Direitos Humanos no seu artigo 3°  Todo indivíduo tem direito à vida, à liberdade e à segurança pessoal. E também na Constituição_da_República_de_Moçambique no artigo 40° estabelece que, Todo o cidadão tem direito à vida e à integridade física e moral e não pode ser sujeito à tortura ou tratamentos cruéis ou desumanos. Aonde iremos nós MULHERES, se no Salão, em Casa ou Rua estamos inseguras.
Moçambique;*mocamb_cyber *legenda_9;Sabias que Quem tirar a vida de outrem pode ser punido nos termos da lei penal vigente no País? Nos meses de Dezembro de 2023 e Janeiro de 2024 foram registados altos índices de assassinatos macabros de mulheres perpetrados pelos seus cônjuges (marido/ parceiro) segundo o noticiado pelos meios de comunicação social no País. O Código Penal moçambicano estabelece nos artigos 159 (Homicídio voluntário simples) quem voluntariamente matar outra pessoa, é punido com a pena de prisão de 16 a 20 anos e 160 (Homicídio agravado) a quem causar a morte de outrem em circunstâncias que revelem especial censura ou perversidade será punido com a pena de prisão de 20 a 24 anos. O Observatório_das_Mulheres (OM ) repudia e condena veementemente actos macabros de assassinato de mulheres, violações_sexuais e todas formas de violência contra mulheres e raparigas e exige a responsabilização criminal dos autores materiais.  Neste sentido, instamos a Polícia da República_de_Moçambique a garantir maior segurança e proteção como forma de proteger a integridade física e psicológica das mulheres em Moçambique. Embora Moçambique tenha instrumentos legais que defendem e protegem os direitos humanos das mulheres, na tua opinião que acha que esta a falhar para acabar com essas más práticas?
Moçambique;*mocamb_cyber *legenda_10;RECLAME DA OPHENTA COM A FRASE VIOLÊNCIA NÃO TEM DESCULPA, TEM LEI  MOTIVA RAPARIGA DE 17 ANOS A DENUNCIAR CASO DE VIOLÊNCIA. Depois de ter assistido a mãe da sua amiga a sofrer violência_doméstica, Isaura Januário (nome fictício), de 17 anos, residente em um dos bairros periféricos da cidade de Nampula, sensibilizou a filha da vítima, por sinal sua amiga Lúcia Rajabo (nome fictício) a solicitar apoio da OPHENTA para denunciar a violência.  Segundo Isaura, o reclame da Ophenta, com a escrita  a violência é crime e tem lei, Denuncie! Foi o que a motivou a entender que a violência contra as mulheres deve ser travada. Violência não tem desculpa, tem lei!
