id;country;text;hashtags;doc_origin;source;date;manual_theme;url;notes
Brasil_0001;Brasil;Para refletir. A ideia não é julgar quem se adequa cotidianamente ao padrão de beleza. A ideia é pensarmos o que você ganha por não se adequar. E claro que tem muitas mulheres que são obrigadas a usar maquiagem e outros itens de beleza pelas empresas onde trabalham, o que é um absurdo, porque o mesmo não é exigido de homens, e dificilmente as empresas pagam os produtos e o tempo que essas mulheres passam aplicando a maquiagem, fazendo as unhas e etc. E se pagarem, vai ser mais vantajoso contratar homens 🙄. Veja meus outros posts sobre esse tema? 👉 #FEfuncaoBeleza (ao respostar apague minha hashtag) #padraoDeBeleza #pressãoEstética #padrãoDeBeleza #CorpoLivre #neutralidadeCorporal;['#neutralidadeCorporal', '#FEfuncaoBeleza', '#pressa', '#padra', '#padraoDeBeleza', 'bra_cyber', '#CorpoLivre', 'legenda_1'];BRASIL.docx;DOCX Original;;;;
Brasil_0002;Brasil;Percebendo isso entendemos como foi criada a cultura de que o casamento é a coisa da importante na vida de uma mulher. Os homens podiam tratar as esposas de qualquer jeito, porque elas não podiam se separar.;['legenda_2', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0003;Brasil;"Se o cara diz ""a mulher não pode ter ficado com muitos caras se quiser casar"", pode ter certeza que não se garante. Ele só não quer que ela tenha referências e experiência.";['legenda_3', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0004;Brasil;Nudez não necessariamente é empoderadora, mas também não necessariamente serve ao patriarcado. Vi algumas páginas feministas dizendo “nudez não é empoderamento”, e vim aqui explicar que depende, porque pode ser útil num empoderamento individual, que passa a afetar o coletivo à medida que mulheres se libertam do ódio ao próprio corpo ou da objetificação dele. Como é a sua relação com a nudez? A ideia aqui não é julgar quem ainda está presa na aprovação masculina, já que todos nascemos nessa cultura e estamos em processo de desconstrução constante. Também não quero estimular menores a sair por aí mostrando o corpo! Por isso falei da nudez em casa, e sei que nem todo mundo terá essa oportunidade pois divide o quarto ou coisa assim. Quer ver meus outros posts sobre esse tema?👉#FEFuncaoBeleza 💜Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com #feminismo #neutralidadeCorporal;['#neutralidadeCorporal', '#FEFuncaoBeleza', 'legenda_4', '#feminismo', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0005;Brasil;Em uma sociedade que valoriza mais o corpo da mulher do que seu intelecto e capacidade, faz sentido que algumas mulheres queiram usar isso pra adquirir status, se sustentar ou enriquecer. . . No caso de quem ganha dinheiro se objetificando, se elas têm outras possibilidades de ganhar dinheiro e escolhem fazer isso, podem fazer por não entender porque objetificação é ruim pra todas as mulheres, ou podem realmente não ligar. Mas isso não muda o fato de que imagens de mulheres objetificadas prejudicam a todas as mulheres. . . Quer ver meus outros posts sobre esse tema? 👉 #FEobjetificacaoSexual 👉#FEfuncaoBeleza . . . #feminismo #misoginia #machismo #sexismo #objetificacao #objetificaçãodamulher #objetificacaosexual #mulherobjeto;['#misoginia', '#FEfuncaoBeleza', '#objetificaçãodamulher', '#sexismo', '#machismo', 'legenda_5', '#FEobjetificacaoSexual', '#objetificacaosexual', '#feminismo', '#objetificacao', '#mulherobjeto', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0006;Brasil;"Vem com a gente aprender a ler imagem 🙂 . . Vi que muitas pessoas estavam achando difícil identificar quando está acontecendo objetificação ou não. Eu primeiro fiquei confusa com isso porque pra mim é muito óbvio, mas aí lembrei que fiz uma matéria na faculdade, Análise da Linguagem Visual, e pensei que muitas pessoas não devem saber ler imagens e por isso estão com dúvidas. Então fiz esses quadros pra ajudar quem está com dificuldade. . . Sobre a mulher se auto-objetificar, acredito que o contexto é importante. Por exemplo, a diferença entre uma mulher que só mostra fotos sensuais e mais nada, e uma que fala sobre vários assuntos, demostra vários traços de sua personalidade, e de vez em quando posta uma foto sensual. . . Coloquei a Anita porque tinta muita gente usando ela como exemplo pra desqualificar a problematização da objetificação, e eu acredito que exista diferença em uma pessoa com carreira de música postar foto da própria bunda e um cara que posta fotos de bundas de mulheres que só estão lá ""por serem gostosas"". Mas entendo que a questão Anitta é controversa. . . Quer ver meus outros posts sobre esse tema? 👉 #FEobjetificacaoSexual . . . #feminismo #misoginia #machismo #sexismo #objetificacao #objetificaçãodamulher #objetificacaosexual #leituradeimagem #análisedalinguagemvisual #interpretacaodeimagem";['#análisedalinguagemvisual', '#interpretacaodeimagem', '#misoginia', '#objetificaçãodamulher', '#sexismo', '#machismo', '#leituradeimagem', 'legenda_6', '#FEobjetificacaoSexual', '#objetificacaosexual', '#feminismo', '#objetificacao', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0007;Brasil;"Não ensine mulheres a prevenir serem estupradas, ensine os homens a não estuprar."" Vamos ensinar! Parece óbvio mas tem muito homem ""bom"" por aí que já cometeu estupro e nem percebeu que foi estupro, acha que foi apenas uma transa. A cultura de estupro, que coloca a culpa do estupro na vítima, faz homens pensarem que não foi errado: ""Ah mas ela é minha namorada, tem que transar quando eu quero"", ""ela foi até lá pra dar pra mim, então não foi estupro"", ""começou, agora termina""... e estupro é visto como algo tão horrível, que a pessoa tenta se justificar ao máximo pra não admitir que estuprou alguém, nem pra si mesmo. . Os que estupram sem perceber estão sendo misóginos sim, já que não estão preocupados com o prazer da mulher. Não estou dizendo que são menos piores do que os que estupram de propósito. Felizmente esses que estão agindo sem perceber são mais fáceis de mudar, com educação. Estou falando por exemplo de um homem que está focado no próprio prazer a ponto de não perceber que a mulher não está curtindo. Ela não está resistindo ou mandando parar, apenas não está curtindo. Quero chamar a atenção pra que homens prestem atenção, percebam a/o parceira/o e parem na hora que isso acontecer. . É claro que também tem homens que sabem muito bem o que estão fazendo, e acham que podem fazer o que quiserem porque compram a justiça. O pior que podem mesmo. #justiçapormariferrer Eu não estou falando de leis quando digo o que é estupro. Eu sou ativista então estou defendendo o que acho certo, e como eu acho que as leis deveriam ser. E não sou só eu: no meio feminista em geral, até onde entendo, é isso que se defende. Adolescentes maiores de 14, não deveriam se relacionar com adultos, a não ser que a diferença de idade seja pequena. Mas por exemplo, uma menina de 14 com um cara de 30, pra mim é estupro sim. 17 anos com um cara de 50? Também. Mesmo que hoje a lei seja diferente disso. Quer ver meus outros posts sobre esse tema? 👉 #FEculturaDeEstupro 👉 #FEsexualidade . . . #feminismo #antifeminismo #comonãoestuprar #consentimento #assedio #estupro #sexo #educacaosexual #consentimentoésexy";['#comonãoestuprar', '#antifeminismo', '#estupro', '#assedio', '#justiçapormariferrer', '#FEsexualidade', '#sexo', '#educacaosexual', 'legenda_7', '#consentimentoésexy', '#FEculturaDeEstupro', '#feminismo', '#consentimento', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0008;Brasil;Essa é uma microagressão. O mais importante dela não é a interrupção em si mas o que ela representa: uma desconsideração da fala de mulheres, uma demonstração de misoginia. Nem quis explicar muito dessa vez, porque achei que o post do @omachodarelacao explicou muito bem e quis colocar bastante exemplo, porque às vezes o exemplo explica melhor que qualquer texto. Eu não assisto Faustão, e fiquei com essa dúvida se ele faz isso com todo mundo. Mas quando vi compartilharem esse vídeo fiquei muito agoniada. Acho que tem um agravante na conversa homem - mulher, que é o homem é ensinado a dominar a conversa, e a mulher é ensinada a agradar e ser simpática e acolhedora, por isso a dificuldade de falar por cima da interrupção, e por mais que ele interrompa tanto homens quanto mulheres, quando é com mulheres é pior por conta dessa combinação. O quadrinho da página 8 é da @t.s.carmo Quer ver meus outros posts sobre o tema? 👉#FEmicroagressao Quer ver meus outros posts de termos relevantes pro feminismo? 👉 #FEglossario (ao repostar por favor não copie minha hashtag) #interrompomem #manterrupting #feminismo #misoginia;['#FEglossario', '#manterrupting', '#misoginia', '#interrompomem', '#FEmicroagressao', '#feminismo', 'legenda_8', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0009;Brasil;Não é que os abusadores façam isso conscientemente, com a intenção de manipular a pessoa. Mas é normal se decepcionar quando se coloca alguém em um pedestal. Então o abusador pode expressar essa decepção criticando a vítima constantemente, mas o erro foi dele em fantasiar que ela era perfeita. Você tem experiência com isso? Se sim, como foi?;['legenda_9', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
Brasil_0010;Brasil;"Mulheres são 91,5% das vítimas de violência de parceiro íntimo segundo o boletim ""Violência por parceiro íntimo contra homens e mulheres no Brasil: dados da vigilância de violências e acidentes"", do ministério da saúde em 2020.";['legenda_10', 'bra_cyber'];BRASIL.docx;DOCX Original;;;;
