país,codigo legenda,texto,idioma
Chile,*chi_cyber *legenda_1,"Queridas compañeras de lucha, hoy, 2 abril de 2021, sí 2021, el reconocido medio de comunicación El_Mercurio nos lanza una propuesta bastante retrógrada y nos invita a mantenernos arregladas durante este confinamiento. ¡Esto es violencia_Simbólica! ¿Cómo es posible que en pleno 2021 y en medio de una crisis_sanitaria mundial, durante la cual estamos llegando a un peak de contagios, más de 8.000, y a diario vemos cómo mueren decenas de personas, la máxima preocupación de un medio de comunicación sea motivarnos a mantenernos arregladas? ¿En serio? Como si lo anterior no fuera suficiente, y convirtiendo en aún más nefasto el consejo del día de hoy, El_Mercurio limita el rol_de_la_mujer no sólo al ámbito_del_hogar, sino que además a mantener una buena imagen física, perpetuando así los estereotipos_de_género y la violencia_simbólica. El texto señala explícitamente: junto con cuidar a nuestras familias, y a quienes viven en nuestros hogares con comida y hábitos_saludables, el aspecto, aunque puertas adentro, debe mostrar cuidado. ¿Cuál es el mensaje que nos quieren entregar El_Mercurio? ¿Acaso no se dan cuenta que mensajes como estos invisibilizan la importancia del rol_de_la_mujer en la sociedad? Es lamentable que, a estas alturas, tengamos que explicarles que somos más que un pañuelo o una cara bonita. Basta de estos mensajes que no hacen nada más que violentarnos.",Espanhol
Chile,*chi_cyber *legenda_2,"Mientras los hombres pueden usar pantalones cortos sobre la rodilla y camisetas de manga_corta, las mujeres que practican balonmano_playa deben usar peto y bikini siguiendo estrictos lineamientos: no deben medir más de 10 centímetros de ancho en el costado. ¿Cuál es la explicación lógica detrás de esta normativa? Aparentemente, ninguna. Machismo puro, de ese que penetra en lo más profundo de la sociedad y se manifiesta en diversos aspectos de la vida. Estuvimos revisando las reglas de este deporte, especialmente lo referido a la vestimenta, y, la verdad, es que no hay una explicación más allá del machismo. De hecho, la selección_femenina de balonmano_playa de Noruega decidió presentarse a un partido usando calzas, dado que con esa vestimenta se sienten más cómodas y les permite jugar sin problemas ¿Cuál fue la respuesta de la Federación de este deporte? Una multa y la amenaza de descalificarlas del campeonato si se niegan a utilizar el uniforme que indica la norma. ¿Es necesario decir más? Estamos frente a un nuevo caso de sexismo, de machismo, donde se objetiviza a las mujeres, negándoles la posiblidad de usar otra vestimenta. Estamos en otros tiempos, otra era, donde esto ya no tiene que tener cabida. Es increíble que aún existan normas_sexistas como estas que propician que no sea el talento de las mujeres lo relevante, sino su cuerpo, promoviendo que sea visto como un espectáculo.",Espanhol
Chile,*chi_cyber *legenda_3,"Alerta de violencia_simbólica en el festival. El Festival_de_Viña nos ha traído risas y emociones pero también una ola de violencia_simbólica que nos recuerda crudamente parte importante de la cultura en la que estamos inmersos. Por una parte, y en pleno 2023, se aplaude y premia los mensajes de artistas que normalizan y romantizan el femicidio y la violencia en las relaciones de pareja. Incluso los medios destacan mas los memes como si fuera lo relevante. Por otro lado, desde la alfombra_roja hasta en las entrevistas post_presentación, hemos podido ver cómo se transgreden los límites personales y se ha hecho un festival de opiniones respecto a las apariencias ajenas, en especial a los cuerpos de las mujeres. Entonces nos preguntamos: ¿Qué nivel de exposición implica que un entrevistador le pregunta directamente a una invitada si está usando ropa_interior? ¿Cómo nos condiciona que un asesor de imagen, comente en TV abierta respecto a la dieta y restricción_alimenticia para entrar en un vestido, pasando por alto el impacto que estos dichos tienen en el concepto de autoimagen, belleza y salud? ¿Cómo podemos hablar de consentimiento y conductas_abusivas cuando se normaliza que un notero pueda besar sin consentimiento a su entrevistada y esto sea avalado mediante la risa por algunos de quienes conducen el programa? En un entorno festivo, estos mensajes pueden parecer inofensivos, pero no lo son. La suma de estas conductas sucedidas en viña 2023, normalizan acciones violentas y contribuyen a perpetuar la violencia_de_género. Justamente de eso se trata la violencia_simbólica. de aquello que nos cuesta ver, que se produce y reproduce en entornos amigables y cotidianos, en espacios culturales y en medios masivos de comunicación. Son mensajes que se incorporan de manera inconsciente y por eso creemos necesario visualizarlos y conversar abiertamente en torno a ello.",Espanhol
Chile,*chi_cyber *legenda_4,"Citas_Mujeres_Bacanas ser una mujer bacana es creer en la libertad de elegir la vida que imaginas. Aquí en palabras de la pensadora y filósofa francesa Simone_de_Beauvoir. Autora de El_Segundo_Sexo, 1949, la escritora es un referente fundamental del feminismo_moderno e inspiración para las mujeres y el cuestionamiento de su rol en la sociedad.",Espanhol
Chile,*chi_cyber *legenda_5,"Fue una de las fundadoras de la Asociación_Nacional para el Progreso_de_las_Personas_de_Color y parte del movimiento sufragista_estadounidense. Ida_B_Wells dedicó su vida a la defensa de los derechos_civiles y de la mujer. Además se encargó de documentar cientos de casos de linchamientos raciales, lo cual le valió un reconocimiento póstumo en la entrega de los premios_Pulitzer de este año. Ida nació en Mississipi, hija de una pareja de ex_esclavos liberados tras la Guerra_de_Secesión. Cuando tenía 14 años sus padres y uno de sus hermanos murieron de fiebre_amarilla y ella entró a trabajar como profesora en un colegio para niños afrodescendientes. En 1880 Wells se trasladó a Memphis y ahí adquirió conocimiento público tras liderar una campaña en contra de la segregación_racial en el ferrocarril, luego de que fuera forzada a ceder su asiento a un hombre blanco. Contrató un abogado para demandar a la compañía de ferrocarril y ganó el caso en el tribunal local, pero luego la compañía apeló en la Corte_Suprema de Tennessee y la sentencia fue anulada. Luego, durante unas manifestaciones a favor del voto_femenino se negó a marchar más atrás por ser de color. En 1889 empezó a ser copropietaria y redactora de Free_Speech, un periódico en contra de la segregación. En 1892 publicó un artículo denunciando el linchamiento de 3 amigos empresarios afrodescendientes por parte de su competencia. Wells entonces trasladó su residencia a Chicago. Continuó publicando panfletos que daban cuenta de su investigaciones acerca de miles de linchamientos a personas por razones raciales. Luego de jubilarse Wells escribió su autobiografía titulada Cruzada_por_la_justicia. En 2020, se le otorgó una mención_especial póstuma de los Premios_Pulitzer por ser una pionera del periodismo_de_investigación y un ícono de la lucha por los derechos_civiles.",Espanhol
Chile,*chi_cyber *legenda_6,"Niki_de_Saint_Phalle fue una artista, cineasta y escultora franco_americana reconocida como una de las grandes pintoras del siglo 20, por su carácter rupturista y feminista. Nacida en Francia y de padres estadounidenses, Niki tuvo una infancia marcada por los abusos_paternos y por los recelos de su madre por una maternidad no deseada. En la década del 30 se trasladó a EE.UU., y a los 20 años fue modelo de Vogue y Life. De manera autodidacta y terapéutica comenzó a pintar, logrando perfeccionar su técnica y estilo, el que decidió desarrollar aún más en Paris. Al poco tiempo Niki destacaría por su carácter innovador, pues comenzaría a utilizar armas para disparar pinturas y realizar cuadros, los que serían conocidos como Cuadros_Tiroteados. Niki formó un arte transgresor y reivindicativo que buscaba romper con las imposiciones sociales impuestas al género_femenino. Fue así como realizó creaciones caracterizadas por esculturas femeninas voluptuosas y coloridas con las que ocupó el espacio_público. Su serie de figuras llamadas Las_Nanas lograron un gran renombre, destacando principalmente Ella, una de las esculturas más grandes de su tiempo y a la que se debía ingresar por la entrepierna para poder apreciar el interior. De Saint_Phalle destacó no sólo por su trabajo bajo la perspectiva feminista, sino que también por su constante defensa hacia los derechos_civiles de la población_negra y la multiculturalidad presente en la sociedad. Sus últimos 20 años de carrera los dedicó para desarrollar El_jardín_del_Tarot una de sus más importantes obras que cuenta con esculturas de más de 15 metros de altura en las que plasmó todo su estilo creativo.",Espanhol
Chile,*chi_cyber *legenda_7,"La mutilación_genital femenina es una práctica que surge desde África y se expande hasta América_del_Sur. Puede realizarse en cualquier momento de la vida de la mujer, sin embargo, es más común en la niñez. Se lleva a cabo por motivos culturales, religiosos y estéticos, entre otros. En algunos casos se trata de un rito de iniciación que es requisito para el matrimonio. En otros se considera un rito de transición a la madurez o también una forma de controlar la sexualidad de la mujer y salvaguardar la virginidad de las mujeres antes del matrimonio. Y por último, en algunas comunidades existe la creencia de que garantiza el futuro matrimonio de las niñas y el honor_de_las_familias. Además de las graves consecuencias físicas, como hemorragias, períodos irregulares o infecciones, que tiene este procedimiento que no tiene justificación_médica, también conlleva profundos daños_psicológicos en las afectadas. La mutilación_genital femenina ha sido considerada como una manifestación extrema de desprecio al cuerpo de la mujer y a lo que éste representa, negando así la sexualidad a las mujeres y sometiendolas a una violación de sus derechos_humanos. El objetivo de este día es generar conciencia sobre la existencia de esta práctica violenta y discriminatoria.",Espanhol
Chile,*chi_cyber *legenda_8,"5 de abril de 2021, en pleno peak de la pandemia, con 189 camas críticas disponibles a nivel_nacional, donde en regiones como Atacama quedan 4, Maule 3 y en Ñuble queda solo una. Hoy cuando las restricciones_de_movilidad están al máximo y los bolsillos no dan para más, hoy resulta que a nuestro sistema_de_Salud, se le ocurre la brillante idea de comenzar a exigir ahora receta_médica para la compra de anticonceptivos, cuando llevan años sin pedirla. Esto es violencia_de_género, esto es un atentado a nuestra salud_sexual y reproductiva. ¡Exigimos que hoy se detenga esta medida absurda para el contexto en el que estamos sobreviviendo!. Si bien pedir receta siempre ha sido una obligación, durante muchos años, nunca se ha hecho, pero justo ahora que estamos en el el peor momento de la pandemia se empieza a exigir, sabiendo que por ejemplo, las horas ginecólogicas están escasas. Si quieren empezar a hacer la pega que nunca han hecho, háganlo de manera paulatina, dando todas las facilidades para que las personas menstruantes del país puedan tener el acceso a estos medicamentos que no sólo evitan embarazos_no_deseados, sino que también previenen dolores_menstruales insoportables, son recetados en casos de anemia, endometriosis, entre otros motivos. No pueden poner estas trabas de un día para otro. Esto es machismo, esto es una evidencia más del sistema_patriarcal en el que vivimos. Esto es no tener idea de la realidad en la que viven la mayoría de las mujeres en este país que cuenta con un gobierno que ha demostrado con cada una de sus medidas que no tienen idea de la realidad de su gente. ¿Ahora pretenden que de un día para otro consigamos horas a un médico para que nos de la receta? Ahora que no hay permisos, ahora que cualquier salida es exponerse a un contagio, ahora que 2,3 millones de personas de clase media cayeron a la vulnerabilidad? ¿En serio genios? ¡Basta de vulnerar nuestros derechos!",Espanhol
Chile,*chi_cyber *legenda_9,"Nadie nace odiando su cuerpo. Nadie nace pensando que menos kilos, más éxito, más valiosa y mejor. Esto lo aprendemos a través de la socialización de género, donde nos enseñan lo que se espera de una persona que se identifica con el género femenino o masculino. Las expectativas son diferentes para ambos, e históricamente las presiones de la belleza y el cuerpo han sido exacerbadas en las mujeres. Los TCA no son padecidos exclusivamente por mujeres, pero sí son la mayoría. Si bien son trastornos_mentales multifactoriales, el vivir en una sociedad que lucra con la inseguridad de nuestros cuerpos, que nos presiona por perder kilos, donde se nos presenta la delgadez como la única manera de ser felices y exitosas, se hace un factor precipitante o que nos hace más vulnerables a padecerlos. Nuestras niñas y mujeres crecen viendo modelos y estereotipos presentados como ideales que se alejan muchísimo de lo que es real. Se les presentan unos cuerpos como más valiosos que otros, y mientras más alejados estén sus cuerpos de este modelo hegemónico, más insatisfacción corporal existe. La cultura de las dietas se sustenta en este modelo de belleza, donde no nos venden salud, sino delgadez para alcanzar la felicidad. El bombardeo que recibimos es a toda hora y por todas partes. Sin ir más lejos, en nuestras propias investigaciones hemos encontrado que el 90 de las mujeres cree que la imagen física afecta la satisfacción con la vida, y que las mujeres pasan en promedio 3 horas al día pensando en su cuerpo. Nadie nace poniendo tanta importancia en el cuerpo. Lo aprendemos a través de la sociedad, de la gente que nos rodea, la publicidad y medios a los que nos vemos expuestas. Y es por todo esto que en los TCA se hace muy evidente la necesidad de un tratamiento con perspectiva de género. No podemos siquiera pensar en un tratamiento que no tiene esta perspectiva y que no considere el factor social y político en la vida de las mujeres. La lucha sigue hasta que los medios tomen responsabilidad, hasta que normalicemos todos los tipos de cuerpo, hasta que dejen de lucrar con la inseguridad de niñas y mujeres. ¡Porque nos queremos libres de estereotipos y presiones!",Espanhol
Chile,*chi_cyber *legenda_10,"¿Qué te gusta, qué sientes, qué opinas acerca del las relaciones_sexuales y el orgasmo? La estadounidense_alemana Shere_Hite, pionera de la investigación sobre la sexualidad_femenina, fue la primera en hacerle estas preguntas a las mujeres. Nació en Missouri, EEUU, en la Zona_del_Cinturón_de_la_Biblia. Hija de madre soltera, la criaron sus abuelos maternos bajo el alero de una familia cristiana_fundamentalista. Aunque a los 12 años se mudó con una tía a Miami. Estudió Historia en la Universidad de Florida, luego viajó a Nueva_York para doctorarse en Historia_Social en Columbia. Trabajó como modelo para costear su educación. Hasta que en un encargo de máquinas_de_escribir Olivetti, apareció en el anuncio como secretaria sexy junto a la frase: Una máquina_de_escribir tan inteligente que ella no tiene que serlo. Esto marcó el inició de su trayectoria como activista_feminista: Había llegado al máximo de lo que nadie puede soportar. Miembros de la Organización_Nacional_de_Mujeres se concentraron afuera de las oficinas de la empresa para manifestarse. Ella se unió. Empezó a participar de las reuniones de Organización_Nacional_de_Mujeres, y decidió investigar sobre la sexualidad y el orgasmo_femenino. Durante 4 años entregó cuestionarios sobre relaciones_afectivas y sexuales, la masturbación y el orgasmo. De forma anónima fueron contestados por más de 3000 mujeres. Con las respuestas, en 1976 publicó El_informe_Hite. Estudio de la sexualidad_femenina. Fue una verdadera revolución, que vendió millones de copias: hasta entonces nadie había puesto por escrito y tan públicamente, que las mujeres no necesitan de un hombre, por ejemplo, para llegar al orgasmo. Grupos extremistas_de_derecha la acusaron de odiar a los hombres. Pese a las críticas, siguió indagando sobre el tema. Escribió El_Informe_Hite sobre hombres y sexualidad_masculina, 1981 y Mujeres y amor: una revolución_cultural en progreso, 1987. La persecución mediática continuó, incluso la amenazaron de muerte. Emigró a Europa. Renunció a su ciudadanía_estadounidense y se nacionalizó_alemana, el resto de su vida la vivió en el viejo continente.",Espanhol
