keyword,score
the,1.5602702429031405e-05
and,2.7019831846994197e-05
woman,5.8059015150891413e-05
that,5.865622026650635e-05
not,6.092641450698094e-05
have,6.302442149596019e-05
you,8.440397580764493e-05
they,0.0001285793962896192
this,0.0001476010206083435
man,0.0001724627912920551
with,0.0002551659766930058
their,0.00030153534119148524
but,0.0003064587260258496
can,0.000360019304931916
who,0.00036946354301043804
about,0.000386236678855114
when,0.0004030238923552343
make,0.00047034542467203083
more,0.0004887479024561072
from,0.0005013139692964134
