termo,linha,before,keyword,after,texto_original,pais,idioma
patriarcado,7,ser abusar e explorada por o,patriarcado,enquanto muito menino ter o,"O conto da maturidade_precoce das mulheres só serve pra que sejam abusadas e exploradas pelo patriarcado. Enquanto muitos meninos tem a chance de viver a infância de forma saudável, meninas já se veem empurradas para um falso lugar de maturidade. Isso faz parte do que chamamos de cultura_da_pedofilia, e combater a objetificação e a erotização_precoce das meninas é luta_feminista.",,Portugues
patriarcado,9,também não necessariamente servir a o,patriarcado,vi algum página feministo dizer,"Nudez não necessariamente é empoderadora, mas também não necessariamente serve ao patriarcado. Vi algumas páginas feministas dizendo nudez não é empoderamento, e vim aqui explicar que depende, porque pode ser útil num empoderamento individual, que passa a afetar o coletivo à medida que mulheres se libertam do ódio ao próprio corpo ou da objetificação dele. Como é a sua relação com a nudez? A ideia aqui não é julgar quem ainda está presa na aprovação_masculina, já que todos nascemos nessa cultura e estamos em processo de desconstrução constante. Também não quero estimular menores a sair por aí mostrando o corpo! Por isso falei da nudez em casa, e sei que nem todo mundo terá essa oportunidade pois divide o quarto ou coisa assim. Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com.",,Portugues
patriarcado,29,violência_estética também ser vítima de o,patriarcado,mulheres morr tentar se adequar,"As mortas por violência_estética também são vítimas do patriarcado! Mulheres morrem tentando se adequar a um padrão_de_beleza quase que inalcançável, e a gente precisa falar sobre isso. Não se tratam apenas de decisões pessoais, mas de imposições_sociais muito violentas, que fazem com que nos coloquemos em risco_de_vida pela imagem de mulher_perfeita. Infelizmente essa realidade está cada vez mais presente.",,Portugues
patriarcado,33,o poder assim como o,patriarcado,colocar mulher pra rivalizar entre,"Mostra como pra desmontar o poder dos homens, mulheres precisam perceber que estão sendo oprimidas, e se unir pra libertar outras mulheres. Mostra como uma sociedade onde as mulheres têm direitos ainda assim é frágil, pois podem perder direitos a qualquer momento. Mostra que quando percebemos que nos impuseram ideais de feminilidade e masculinidade, é libertador, mas ao mesmo tempo, é duro construir a própria identidade fora desses caminhos pré_definidos. Mostra como é impossível cumprir tudo que exigem das mulheres, ao quererem que sejamos lindas, boas mães, bem sucedidas na carreira, sexys sem ser vulgar, e etc. As Barbies manipulam os Kens a odiarem e rivalizarem uns com os outros pra tomar o poder, assim como o patriarcado coloca mulheres pra rivalizarem entre si, e odiarem umas às outras. Claro que o filme não vai questionar o capitalismo, o colonialismo, o imperialismo. É um filme pra vender boneca, galera. Se você achou que seria diferente, faltou manejar sua expectativa.",,Portugues
patriarcado,95,impacto de esse peso introjetar por o,patriarcado,em todo o esfera de,"A culpa já sabotou algum momento de prazer que era só seu. Seja no sexo, na hora de comer ou de se cuidar com calma, a liberdade para experimentar o prazer livre de culpa continua longe de ser uma realidade para a maioria das mulheres. Em seu perfil, a fotógrafa Maria Ribeiro, refletiu sobre os impactos desse peso introjetado pelo patriarcado em todas as esferas de deleite que nos dizem respeito. Nos sentimos culpadas por dedicar tempo para nós mesmas, por não estarmos produzindo, não estarmos cuidando da casa, dos filhos, da família, das coisas. Se damos um tempo, agendamos uma massagem ou tiramos um dia de folga, parece que o mundo vai cair, afirma. Arrasta para conferir a reflexão e conta aqui: você tem conseguido separar o prazer da culpa.",,Portugues
violencia,111,com já chegar não o,violência,cessar quando o produção de o,"Na madrugada desta quinta_feira, durante uma festa no Big Brother Brasil, o lutador Antônio Cara de Sapato tentou forçar um beijo e chegou a imobilizar a modelo Dania Mendez, que está participando de um intercâmbio entre o BBB e o programa mexicano La Casa de Los Famosos. A modelo reagiu com Já chega. Não. A violência cessou quando a produção do reality emitiu um alerta de atenção direcionado ao lutador. Mais cedo, durante a festa, Dania já havia retirado a mão do cantor Mc Guimê de seu corpo enquanto a dupla conversava com outros participantes. As situações de assédio geraram revolta nas redes sociais por explicitar o que já estamos cansadas de dizer: respeitem o nosso corpo. Em situações deste tipo, as vítimas podem demorar para entender o que está acontecendo. A ausência de reação no momento da violência é popularmente conhecida como congelamento: nem sempre conseguimos nos defender como gostaríamos em situações de abuso. Mulheres são socialmente condicionadas a não baterem de frente com agressores por motivos diversos, seja por se sentirem culpadas pela atitude alheia, por medo de que a agressão física escale ou pela falta de preparo generalizada quando o tema é consentimento. O corpo da mulher não está à disposição de ninguém além dela mesma. Você já foi assediada e teve dificuldade de expressar o seu desconforto prontamente.",,Portugues
violencia,74,ver para crer que o,violência,contra o mulher ser um,"Pamela Holanda tem 27 anos. Está no puerpério, uma fase dura para a vida das mulheres. Ela, vivendo um turbilhão de mudanças na vida e no corpo, e um bebê miudinho para cuidar. Entre ela e o bebezinho é que o bruto se lançou. As imagens são de horror. Não assista, se puder. Um homem que vai e vem para agressões. Há outras pessoas na cena: uma mulher que tenta afagar o rosto de Pamela; outro homem que entra e sai da casa como que para mediar, mas desiste. Pamela continua sendo espancada. Eu imagino a angústia. O corpo doído do parto, o bebezinho ali ao lado tão frágil. Ela foi à delegacia. Fez queixa, tentou retirar a queixa. Temia o que muitas outras temem: ficar desprotegida e o agressor voltar com ainda mais fúria. As cenas são de perder o sono. Você não precisa vê_las. Não precisamos ver para crer que a violência contra as mulheres é uma realidade brutal. Precisamos agir: precisamos de um Estado que proteja as mulheres. Precisamos de um ministério das mulheres que pare de perseguir mulheres e olhe para as mulheres concretas como Pamela e cuide delas.",,Portugues
violencia,64,masculino diante de crime de,violência,contra mulher ser fundamental que,"A personificação do amor romântico é a dependência afetiva. Ela é o protagonista da cena que estampou alguns jornais ontem e que deixou muita gente chocada. A dependência afetiva leva mulheres(e homens!) para relacionamentos abusivos, deixando as expostas a violências de toda espécie que tem seu ápice no Feminicídio. Se queremos discutir esse assunto com seriedade, precisamos tratar de problemas correlatos e naturalizados, que pavimentam os caminhos de destruição da vida física e simbólica de mulheres. Dependência afetiva muitas vezes começa na infância, dentro das famílias conturbadas que ensinam meninos e meninas a confundir amor com agressão, cuidado com posse, dever e gratidão com abuso e submissão. E toda a sociedade trabalha para alimentar a ideia absurda de que o amor suporta e perdoa tudo. O caso dessa moça não é exceção, é regra. Grande parte das relações abusivas tem histórico pregresso de violências menores codificadas como demonstração de afeto e cuidado. O próprio ciúme entra na nossa cultura como tempero das relações, quando na verdade é uma cortina de fumaça que esconde a curva ascendente dos abusos físicos e psicológicos, além de alimentar as relações de poder que se formam entre casais. Mulheres jogam com a falsa sensação de poder que os efeitos do ciúme exerce sobre seus companheiros, sem se dar conta de que em sociedade estruturada pelo machismo, estamos sempre em desvantagem, logo, não temos poder. Precisamos pensar em políticas institucionais e ações familiares de educação de meninas e meninos para que cresçam adultos que cultivam afetos e emoções saudáveis e autônomas, lúcidas o bastante para entender que amor é extremo oposto da dor e jamais devem caminhar de mãos dadas. Sem descartar a responsabilidade masculina diante de crimes de violência contra mulheres, é fundamental que a autonomia afetiva seja uma conduta para a proteção das mulheres no combate ao feminicídio, pois não podemos arriscar nossas vidas esperando a conscientização de um sistema que se beneficia da nossa opressão e dominação.",,Portugues
violencia,99,abandono afetivo e financeiro masculino,violência,como esse desapontar e machucar,"Uma mulher foi estuprada após ter sido deixada em uma calçada, desacordada, por um motorista de aplicativo na madrugada deste domingo, em Belo Horizonte. Antes do crime, ela ainda sofreu uma sucessão de abandonos: o amigo que estava com ela em uma festa a colocou no carro, passando mal, e mandou mensagem de texto avisando o irmão da vítima que ela estava a caminho; o irmão não respondeu à mensagem e nem aos toques de interfone feitos pelo motorista, que se retirou sem cogitar leva_la a um hospital, por exemplo. Depois de poucos minutos desacordada e sozinha na via pública, ela foi arrastada por um homem e estuprada. As imagens de câmeras de segurança que registraram o ocorrido têm causado indignação pelo descaso em série. Mulheres são ensinadas a cuidar desde cedo, seja da casa, de outras mulheres, dos filhos, dos mais velhos e dos homens. Muitas vezes, o trabalho de cuidado é invisível para todos, exceto para elas mesmas. Em um país com índices assustadores de abandono afetivo e financeiro masculino, violências como essa desapontam e machucam a todas, mas não causam surpresa: mulheres têm mais chances de serem abandonadas pelos seus companheiros em casos de doenças ou detenção, além de, tantas vezes, serem as responsáveis por assumir as responsabilidades e consequências causadas também pelo abandono paterno, sem mencionar o abandono do Estado. Elas não merecem o cuidado. Por ora, parece que nos resta cuidar uma das outras. Como podemos colaborar para a construção de uma cultura onde a mulher também seja protegida coletivamente.",,Portugues
violencia,54,até porque ser comum o,violência,vir de pessoa conhecer em,"As pessoas querem culpar a vítima por isso dar algum tipo de conforto pra quem escuta a história do abuso, como se ela tivesse controle sobre as violências que pode sofrer. É a falácia do mundo justo, que consiste em pensar que coisas boas acontecem com pessoas boas, e coisas ruins acontecem com pessoas ruins. Falácia é um raciocínio que parece lógico mas é enganoso. Usando essa crença, a pessoa acha que se for boa, e tomar cuidado, estará sempre imune a sofrer abusos. O que não é verdade, já que qualquer pessoa pode sofrer violência: pessoas boas e pessoas ruins, e as que tomam cuidado e as que não tomam, até porque é comum a violência vir de pessoas conhecidas, em quem confiamos. Por isso temos que responsabilizar agressores e prevenir que pessoas se tornem abusadores, ensinando sobre consentimento e combatendo a cultura de estupro. Cultura de estupro é justificar, legitimar, relativizar, banalizar, glamurizar, ou mesmo que sem intenção, levar a violência sexual. Este post é parte do meu próximo livro, onde explico cultura de estupro com muitos exemplos.Quer ver meus outros posts sobre esse tema?",,Portugues
