termo,linha,before,keyword,after,texto_original,pais,idioma
patriarcado,76,feminista el machismo y el,patriarcado,ya ser parte del pasado,"Feminismo, un modo de vida justo, de equidad, necesario, que se olviden de tratarlo como una moda, porque la lucha de todas las mujeres desde tiempos inmemoriables por ser tratadas como personas, por tener los mismos derechos que los hombres, por recuperar lo que el patriarcado les robó y les roba; era, es y será, la forma de vivir que necesita la humanidad. Tal vez ahora se esté visibilizando más su lucha, haya más conciencia, tal vez sea su tiempo, pero que tome nota el machismo y el patriarcado, no es una moda. Y a partir de que nos encontramos en este punto histórico, no hay vuelta atrás, el modo de vida feminista tiene que terminar de llegar a todos los rincones del planeta, a todos los gobiernos y estamentos de poder y de justicia, a todos los corazones de la gente buena. Porque basta ya de violencia_contra_las_mujeres, basta de arrancarles sus vidas, basta de desigualdad. Por ellas, por todas y todos, por un mundo mejor, por una humanidad que merezca la pena, convierte tu modo de vivir en feminista. El machismo y el patriarcado ya son parte del pasado. Hasta nunca.",,Espanhol
patriarcado,125,el,patriarcado,decir cásate cuido a tu,"El patriarcado dice: cásate, cuida a tu marido y dale muchos hijos, el trabajo va después.",,Espanhol
patriarcado,7,el estereotipos_sexista y desarticular el,patriarcado,en radiojaputa haber hablar de,"Vivimos bajo un sistema_patriarcal que nos oprime, nos violenta y nos sexualiza. Por ello contamos con la Coeducación como única herramienta para cambiar el sistema, poniendo fin a los estereotipos_sexistas y desarticular el patriarcado. En Radiojaputa hemos hablado de coeducación en los podcast 144 Especial Docentes_Feministas entrevistando profesora. El 147 y en el 113 Especial Ley_Trans que hablamos con maestra y activista_feminista.",,Espanhol
patriarcado,147,el calle gritar abajo el,patriarcado,arriba el feminismo bastar ya,"Somos tan valientes que vamos a cambiar el mundo. Hoy, muchas valientes en las calles gritando abajo el patriarcado, arriba el feminismo, basta ya de justicia patriarcal, vivas nos queremos, ni una menos Porque cada vez somos más y más fuertes. ¡Sigamos, compañeras!",,Espanhol
patriarcado,61,ser el herramienta contra el,patriarcado,como proponer el feminista a,"Volvemos a rescatar a Noemí_Gonzáles, maestra y activista_feminista en su entrevista dentro del Especial_Crítica_feminista a la Ley_Trans en el Radiojaputa_113 para hablar sobre coeducación y lo que supodrá su aprobación. La coeducación pasará de ser la herramienta contra el patriarcado como proponemos las feministas, a ser entendida casi como terapia_de_conversión y será castigada si se lleva acabo tanto en escuelas como en familias. Podéis escuchar el podcast completo.",,Espanhol
patriarcado,76,notar el machismo y el,patriarcado,no ser uno moda y,"Feminismo, un modo de vida justo, de equidad, necesario, que se olviden de tratarlo como una moda, porque la lucha de todas las mujeres desde tiempos inmemoriables por ser tratadas como personas, por tener los mismos derechos que los hombres, por recuperar lo que el patriarcado les robó y les roba; era, es y será, la forma de vivir que necesita la humanidad. Tal vez ahora se esté visibilizando más su lucha, haya más conciencia, tal vez sea su tiempo, pero que tome nota el machismo y el patriarcado, no es una moda. Y a partir de que nos encontramos en este punto histórico, no hay vuelta atrás, el modo de vida feminista tiene que terminar de llegar a todos los rincones del planeta, a todos los gobiernos y estamentos de poder y de justicia, a todos los corazones de la gente buena. Porque basta ya de violencia_contra_las_mujeres, basta de arrancarles sus vidas, basta de desigualdad. Por ellas, por todas y todos, por un mundo mejor, por una humanidad que merezca la pena, convierte tu modo de vivir en feminista. El machismo y el patriarcado ya son parte del pasado. Hasta nunca.",,Espanhol
patriarcado,11,análisis feminista entender que el,patriarcado,ser estructural y todo él,"El género no solo nos adoctrina para ser sumisas, también nos moldea físicamente para adaptarnos al canon de belleza patriarcal, creado por y para ellos. La aprobación externa por nuestro físico es una constante en nuestras vidas. Queda prácticamente por encima de todo, incluso tiene mayor importancia que nuestras habilidades en muchísimos casos. Los medios son los principales canales de imposición de este canon estético. Un buen ejemplo son las películas de super_héroes, que hacen soñar a niños y niñas, aún libres de la cárcel de la realidad. Ellos se proyectarán como poderosos, valientes y líderes, aparte de tener infinitamente más referentes. En cambio nosotras tenemos que conformarnos con pocas referentes. Solo hay dos películas centradas en super_heroínas: Wonder_Woman y Capitana_Marvel, que reciben comentarios constantes sobre el físico Viuda_negra y Wonder_Woman, que aunque estén luchando para salvar el mundo están cosificadadas, llevan tacones, falda o maquillaje. Por no hablar de cómo luchan, mientras ellos lo hacen a piñazo limpio, nosotras hacemos una serie de coreografías perfectamente diseñadas para enseñar nuestro cuerpo. Una vez aprendemos a aplicar el análisis feminista entendemos que el patriarcado es estructural y todo lo que se crea parte de él, tenemos que esforzarnos para revertir esa configuración de nuestra mente. Y lo más importante que tenemos que tener presente es que esas grandes empresas de Hollywood de poder incalculable, están dirigidas por hombres dispuestos a mantener sus privilegios a cualquier precio. Las películas de masas inyectan género en vena, tenemos que educar a las nuevas generaciones para que no absorban esos mensajes y los asuman sin más.",,Espanhol
patriarcado,9,telar mojado solo porque el,patriarcado,haber sexualizar cada parte de,"Toda mi vida he tenido complejo por tener poco_pecho. Procuraba usar sujetadores de relleno y poca ropa entallada. Con el tiempo me di cuenta de que lo que hay en la tv, el cine y la publicidad no representa a las mujeres reales. Se crea un modelo de mujer falso y adaptado al deseo_masculino. Me ayudó mucho para vencer este miedo: Hablarlo con mis parejas. Todas me dijeron que les era 100 indiferente, que les gustaba tal y como era. Pero esto no debe ser determinante. Si tu pareja hace crecer tus complejos, por tu bien mándale a la mierda. Hacer topless , al principio era muy difícil, pero con el tiempo me acostumbré y vi que no necesitaba llevar un trozo de tela mojado solo porque el patriarcado ha sexualizado cada parte de mi cuerpo. Además, no había nada que sujetar. No usar sujetadores con relleno y acabar por no usarlo directamente. Fijarme en cómo eran las mujeres que no aparecen en las revistas solo tienes que pasear por la calle y mirar la variedad de cuerpos que existe. ¡Tu cuerpo no te define! Te lo dio la naturaleza de forma aleatoria y es lo único que seguro seguro te va a acompañar toda la vida, así que por salud aprende a quererlo y luchar contra los mensajes que intenten minar tu autoestima.",,Espanhol
patriarcado,148,que desde que nacer el,patriarcado,y el machismo ya ir,"Para las personas que se pregunten por qué tiene que haber un Día de la Niña, les recordamos que, desde que nacen, el patriarcado y el machismo ya van condicionando las vidas de todas las niñas del mundo y, en algunos casos, supone además el sufrimiento de violencia, abusos y explotación de todo tipo. Si tanto molesta este día, que luchen para que la Infancia sea igualitaria y equitativa, y todas las niñas y todos los niños puedan crecer sanos, libres y educados desde el ámbito feminista, para que en el futuro, esos niños no sean hombres machistas, maltratadores, violadores, etc, y esas niñas sean mujeres que no sufran ninguna discriminación, ninguna cosificación, ningún techo de cristal, ningún tipo de violencia, ninguna injusticia y no sean menos que nadie.",,Espanhol
patriarcado,54,que ejecutar el violencia_machista el,patriarcado,ser uno fábrica de hombre,"¿A qué edad empezásteis a sufrir acoso_callejero? A esta pregunta casi siempre me responden entre 11 y 13. Miles de mujeres cuentan que han sido acosadas por hombres adultos desde que son menores. Por esta regla de tres hay miles de hombres que acosan a menores.Basta ya de obviar a los hombres en la ecuación de la violencia_machista. Las mujeres no son acosadas, agredidas y asesinadas por un ente desconocido. Varones socializados en un sistema_patriarcal son los que ejecutan la violencia_machista. El patriarcado es una fábrica de hombres violentos, estos no son así por naturaleza.",,Espanhol
violencia,28,hacer hundir emocionalmente y ejercer,violencia,contra tú,"Las víctimas de violencia_de_género están sometidas a una manipulación tal que no pueden evitar justificar a su maltratador, es muy difícil darte cuenta de que la persona a la que quieres te está haciendo hundiendo emocionalmente y ejerciendo violencia contra ti.",,Espanhol
violencia,60,qué punto este tipo de,violencia,ser más común y retorcido,"El Radiojaputa 125 es un especial sobre violencia_vicaria, aquella que el maltratador ejerce sobre una mujer a través de terceros, generalmente, de las criaturas. Empezamos repasando algunos casos mediáticos, y entrevistamos a Sonia_Vaccaro, psicóloga forense que acuñó el término violencia_vicaria. Las experiencias de las oyentas a lo largo de todo el programa nos ayudarán a entender hasta qué punto este tipo de violencia es más común y retorcida de lo que cabe imaginar.",,Espanhol
violencia,69,esperanza para luchar contra este,violencia,haber que conocer él yo acompañar,"Abusos_sexuales_infantiles. Hablamos de quiénes son los abusadores, de secuelas, reacciones del entorno a la revelación, revictimización y la necesidad de venganza.También de sanación y esperanza. Para luchar contra esta violencia hay que conocerla. Nos acompañan Alexandra_Membrive y Noelia_Moreno que nos presenta su libro lolita contra el lobo. Para acabar con el abuso_en_la_infancia_y_adolescencia se necesita una comunidad entera.",,Espanhol
violencia,72,ser el día_internacional contra el,violencia,hacia el mujer ser importante,"Desliza hoy es el Día_Internacional contra la violencia hacia las mujeres. Es importante salir a las calles, pero lo fundamental es el día a día.Hay que rechazar cualquier tipo de violencia, explícita o no. No posicionarnos nos hace cómplice de ella. Nos vemos en las calles hermanas.",,Espanhol
violencia,72,que rechazar cualquiera tipo de,violencia,explícito o no no posicionar yo,"Desliza hoy es el Día_Internacional contra la violencia hacia las mujeres. Es importante salir a las calles, pero lo fundamental es el día a día.Hay que rechazar cualquier tipo de violencia, explícita o no. No posicionarnos nos hace cómplice de ella. Nos vemos en las calles hermanas.",,Espanhol
violencia,105,de protección integral contra el,violencia,de género en el radiojaputa,"Un 28 de diciembre, de hace ahora 17 años, se publicaba la Ley Orgánica 1/2004, de Medidas de Protección. Integral contra la Violencia de Género. En el Radiojaputa 104 repasamos la historia reciente del feminismo en España.",,Espanhol
violencia,128,el justicia maría víctima de,violencia,machista explicar que su único,"El delito de María Salmerón: no haber llevado a su hija, en ese momento menor de edad, al punto de encuentro familiar para que viera a su padre, tal como lo había acordado la justicia. María, víctima de violencia machista, explica que su único interés fue el de respetar la voluntad de su hija de no querer ver a su padre y protegerla. Él fue condenado a 21 meses de cárcel y alejamiento por la agredir, pero nunca llegó a cumplir dicha condena, ni siquiera le fue conmutada por trabajos a la sociedad. Ahora, en breve, María tendrá que entrar en prisión 9 meses. Ella. Ella. Ella. Otra vez Ella. Dejo enlace a la noticia en mi perfil por unos días.",,Espanhol
violencia,148,suponer además el sufrimiento de,violencia,abuso y explotación de todo,"Para las personas que se pregunten por qué tiene que haber un Día de la Niña, les recordamos que, desde que nacen, el patriarcado y el machismo ya van condicionando las vidas de todas las niñas del mundo y, en algunos casos, supone además el sufrimiento de violencia, abusos y explotación de todo tipo. Si tanto molesta este día, que luchen para que la Infancia sea igualitaria y equitativa, y todas las niñas y todos los niños puedan crecer sanos, libres y educados desde el ámbito feminista, para que en el futuro, esos niños no sean hombres machistas, maltratadores, violadores, etc, y esas niñas sean mujeres que no sufran ninguna discriminación, ninguna cosificación, ningún techo de cristal, ningún tipo de violencia, ninguna injusticia y no sean menos que nadie.",,Espanhol
violencia,148,de cristal ninguno tipo de,violencia,ninguno injusticia y no ser,"Para las personas que se pregunten por qué tiene que haber un Día de la Niña, les recordamos que, desde que nacen, el patriarcado y el machismo ya van condicionando las vidas de todas las niñas del mundo y, en algunos casos, supone además el sufrimiento de violencia, abusos y explotación de todo tipo. Si tanto molesta este día, que luchen para que la Infancia sea igualitaria y equitativa, y todas las niñas y todos los niños puedan crecer sanos, libres y educados desde el ámbito feminista, para que en el futuro, esos niños no sean hombres machistas, maltratadores, violadores, etc, y esas niñas sean mujeres que no sufran ninguna discriminación, ninguna cosificación, ningún techo de cristal, ningún tipo de violencia, ninguna injusticia y no sean menos que nadie.",,Espanhol
