termo,linha,before,keyword,after,texto_original,pais,idioma
maternidade,25,o período de licença de,maternidade,60 para 90 dia o,"A Assembleia da República aprovou na passada quinta_feira (dia 03 de agosto) a proposta da revisão da lei de trabalho e traz algumas inovações como: 1.  Acrescenta o período de licença de maternidade 60 para 90 dias a trabalhadora tem direito além das férias normais, a uma licença por maternidade de 90 dia consecutivos que pode ter início 20 dias antes da data provável do parto e já o homem tem direito a uma licença por paternidade de 7 dias, iniciada no dia seguinte ao do nascimento da criança; 2. Assédio e suas penalizações (Quando o assédio for praticado pelo empregador, superior hierárquico ou mandatário e confere ao trabalhador direito a indemnização de 20 vezes o salário mínimo do sector de actividade, sem prejuízo de procedimento judicial) 3. Horário de Trabalho em regime de Alternância Fonte (Rádio Moçambique) o que acha a respeito da proposta de lei revista ?",,Portugues
maternidade,25,normal a um licença por,maternidade,de 90 dia consecutivo que,"A Assembleia da República aprovou na passada quinta_feira (dia 03 de agosto) a proposta da revisão da lei de trabalho e traz algumas inovações como: 1.  Acrescenta o período de licença de maternidade 60 para 90 dias a trabalhadora tem direito além das férias normais, a uma licença por maternidade de 90 dia consecutivos que pode ter início 20 dias antes da data provável do parto e já o homem tem direito a uma licença por paternidade de 7 dias, iniciada no dia seguinte ao do nascimento da criança; 2. Assédio e suas penalizações (Quando o assédio for praticado pelo empregador, superior hierárquico ou mandatário e confere ao trabalhador direito a indemnização de 20 vezes o salário mínimo do sector de actividade, sem prejuízo de procedimento judicial) 3. Horário de Trabalho em regime de Alternância Fonte (Rádio Moçambique) o que acha a respeito da proposta de lei revista ?",,Portugues
maternidade,62,grande fragilidade para ele o,maternidade,de o trabalhadoro doméstico também não,"Se o salário do patrão subiu só 260 imagina da empregada doméstica? Este é o questionamento que juntou várias mulheres, jovens e raparigas, numa marcha, em defesa das trabalhadoras domésticas, na manhã de ontem, 1 de Maio, em Maputo. A marcha coordenada pelo Fórum Mulher enquadra_se nas comemorações do dia internacional do trabalhador. Várias mensagens de repúdio foram levantadas visando defender as trabalhadoras domésticas uma vez que o seu trabalho não está regulamentado na lei do trabalho. Neste instrumento o governo definiu o salário mínimo para cada sector porém, não está previsto nele, o sector ao qual esta classe deve pertencer muito menos o salário mínimo para as grandes ajudantes de muitas famílias moçambicanas. O salário a ser pago a uma trabalhadora doméstica ainda depende da boa vontade do patronato, o que é uma grande fragilidade para elas. A maternidade das trabalhadoras domésticas também não tem nenhum tratamento neste instrumento. Muitas são obrigadas a interromper o seu trabalho, sem nenhuma remuneração sempre que estiverem grávida. A crise de água também foi trazida nas reivindicações do dia do trabalhador visto que também tem contribuído piorar a situação das mulheres domésticas.",,Portugues
maternidade,108,filho a o natureza embora o,maternidade,ser um experiência mágico estar,"não encorajo nem apoio que mulheres que não desejam ter filhos o façam. lamento pelas que tiveram filhos sem desejar. parabéns para as mães que estão realizando este sonho, e desejo muita força para aquelas que ainda sonham, conforto as mães que tiveram que devolver seus filhos à natureza. embora a maternidade seja uma experiência mágica, está longe de ser romântica e é uma jornada irreversível",,Portugues
sociedade,61,mulher wlsa moçambique fórum de o,sociedade,civil para os direitos de o,"Ativistas de Pemba beneficiam de formação sobre Lei da família 9 ativistas na cidade de Pemba beneficiaram da capacitação sobre a Lei de família, com vista a fortalecer os seus conhecimentos e primarem por uma abordagem mais informada quando estiverem em contato com as comunidades. A capacitação teve lugar em Pemba, capital da província de Cabo Delgado, norte do país, entre os dias 13 e 14 de Novembro. Especificamente, os formandos aprenderam os mais sobre a lei de sucessões, lei de prevenção e combates as uniões prematuras. A formação foi ministrada por Lídia Gulele de forma presencial no âmbito do projeto.  Enriquecendo a participação ativa da sociedade civil para promoção da Igualdade de Gênero e o Empoderamento das mulheres e Raparigas do Programa de Apoio aos atores não Estatais (PAANE). O  projeto trabalha na luta contra a violência baseada no gênero, combate às uniões prematuras e assistência para realização do aborto seguro. Refira_se que o projeto é implementado pelo consórcio composto pelas organizações Fórum Mulher, WLSA Moçambique, Fórum da Sociedade Civil para os Direitos da Criança (ROSC), AMMCJ, Fórum das Associações Femininas de Inhambane (FAFI), Fórum Organizações Femininas do Niassa (FOFEN), Associação de Mulheres Paralegais de Tete (AMPT), Rede de Protecção da Criança em Sofala (SOPROC), e o Centro Informazione e Educazione Allo Sviluppo ONLUS (CIES), que conta com apoio da União Europeia em Moçambique, no contexto do PAANE II.",,Portugues
sociedade,39,mulher wlsa moçambique fórum de o,sociedade,civil para os direitos de o,"Celebração do dia da mulher Pan_africana O Fórum das Associações Femininas de Inhambane (FAFI) participou na celebração do dia da mulher Pan_Africana, que se assinalou a 31 de Julho. Para assinalar a data, a FAFI e seus parceiros do Governo da província de Inhambane realizaram diversas atividades, nomeadamente feira de artigos artesanais, exibição de peças teatrais, bem como um debate. A peça teatral apresentada pelo grupo teatral 12 de Agosto retrata o ciclo de violência que as mulheres passaram nos tempos passados, com enfoque a Dar_Es_Salaam na Tanzânia. O debate foi dirigido pela representante da direcção provincial de gênero, Maria Namburete, e pela representante do FAFI, Joana Angalaze. Para iniciar o debate, uma das participantes contou a sua experiência pouco agradável no último sábado em termos de atendimento numa instituição pública. Fui ao gabinete de atendimento à família e menores vítimas de violência, me senti muito desamparada porque o atendimento não correu bem e quase fui obrigada a voltar para casa dormir com o agressor. Os cerca de participantes arrolaram estratégias para reverter o cenário e trabalhar na criação de espaços onde  as vítimas possam ter liberdade para falar do que passam e sentem. Por fim, a empreendedora Raquel Uiliamo, partilhou sua experiência de sucesso e motivou os participantes a persistirem nos seus empreendimentos para diminuir o nível de dependência financeira por parte dos parceiros, e assim baixar o índice de violência doméstica. A atividade foi realizada no âmbito do projeto enriquecendo a participação ativa da sociedade civil para promoção da igualdade de gênero no  empoderamento das mulheres e raparigas do Programa de apoio aos atores não estatais (PAANE). Refira_se que o projeto é implementado pelo consórcio composto pelas organizações Fórum Mulher, WLSA Moçambique, Fórum da Sociedade Civil para os Direitos da Criança (ROSC), Associação Moçambicana de Mulheres de Carreira Jurídica (AMMCJ), FAFI, FOFEN, AMuPT, Rede de Proteção à Criança em Sofala (SOPROC), e o Centro Informazione e Educazione Allo Sviluppo ONLUS (CIES), que conta com apoio da União Europeia em Moçambique.",,Portugues
sociedade,43,enriquecendo o participação activo de o,sociedade,civil para promoção de o igualdade,"Por quê nos estão a matar, socorro? Por quê nos estão a matar, socorro?, foi um dos vários gritos de protesto e ajuda que as mulheres do Fórum das Associações femininas de Inhambane (FAFI) lançaram para marcar o dia 07 de Abril, dia da mulher moçambicana que se assinalou nesta sexta_feira. O pedido de socorro aconteceu durante o lançamento das celebrações da efeméride, onde várias organizações da sociedade civil marcharam a partir da Praça da Marinha com destino a Praça dos Heróis, na cidade de Inhambane, em prol dos direitos da mulher e em recordação dos feitos da Josina Machel. Para o efeito, dezenas de mulheres deitaram_se no chão, simbolizando as inúmeras vidas das mulheres que foram tiradas nos últimos tempos em todo o país. As nossas lutas continuam até hoje, e pedimos aos governantes que nos dêem segurança, pois há inúmeros casos de violações e assassinatos de mulheres em todo o país, disse Hortência Rafael, coordenadora do FAFI. Se vocês não me ouvem, não me socorrem, quem me irá o fazer por mim, foi a mensagem repetida durante o evento. Ainda para chamar atenção sobre esta problemática, houve um minuto de silêncio pelas vítimas do feminicídio. O Grupo Teatral 12 de Agosto e Gubuta animam as celebrações do dia da mulher com cânticos e peças que representam os desafios daquela que representa metade da humanidade. A exibição cultural foi organizada pela FAFI e aconteceu no âmbito do projeto Enriquecendo a participação activa da sociedade civil para promoção da Igualdade de gênero e o empoderamento das mulheres e raparigas do programa de apoio aos atores não Estatais (PAANE). Participaram da cerimônia o Governador da província, Daniel Chapo e outros membros do governo provincial, que  congratularam todas as mulheres e reconheceram o cuidado e a proteção que ela merece. Reconheceram igualmente a necessidade de empoderar ainda mais a mulher, e torná_la independente.",,Portugues
sociedade,41,como forma de educar o,sociedade,a respeitar o mulher afirmar,"O Estado deve proteger as vítimas de violência e penalizar os violadores para educar a sociedade. O Estado deve proteger as vítimas de violência baseada no gênero, bem como agravar as penas aos que as perpetuam, como forma de educar a sociedade a respeitar as mulheres, afirma Nzira de Deus, diretora executiva do Fórum Mulher. Repudiamos e exigimos ao Estado que crie condições para às mulheres vítimas de violência e penas mais severas para todos os que perpetuam a violência como um processo de educação, disse. Que o Estado crie formas de integridade e garanta que as mulheres não vivam no mesmo ambiente com o seu violador, acrescentou. Nzira de Deus falava este sábado em Maputo no lançamento da campanha dos 16 dias de ativismo pelo fim da violência contra as mulheres. A campanha inicia a 25 de Novembro e termina a 10 de Dezembro, com a finalidade de chamar atenção em todo mundo para o fim da violência que afeta 1 em cada 3 mulheres no mundo. Os 16 dias de ativismo são importantes para levar a mensagem de que a violência não resolve nenhum problema. Estamos aqui para apelar ao Estado para intervir urgentemente contra todo esses tipos de violência, acrescentou. Se uma mulher não quer mais um homem, isso não deve ser motivo de morte, explicou, ilustrando os vários casos de finais trágicos de relacionamento para as mulheres. Estamos aqui para libertar elas deste ambiente tóxico, não queremos que nenhuma outra mulher sofra de violência e quando formos a ver um caso de violência, devemos denunciar por elas, porque somos solidárias, referiu. O lançamento dos 16 dias aconteceu em forma de marcha que partiu da estátua Eduardo Mondlane até à praça da Independência, na cidade de Maputo, naquela manhã quente. Estiveram na mesma tónica as organizações ADPP, MOVFEMME, KUTENGA, AESMO, Hixikamwe e pessoas não associadas.",,Portugues
sociedade,30,mulher ser preciso educar o,sociedade,a compreender que homem e,"Mais uma vida, de uma mulher, foi tirada. Mais uma mulher foi vitima do Feminicídio, da caça as pessoas somente pelo facto de ter nascido mulher. Até  quando vamos ter que ver as vidas das nossas irmãs, primas, vizinhas, cunhadas, amigas ou conhecidas a serem tiradas como de algo sem valor se tratasse. Até quando vamos continuar a negar que as mulheres estão a ser caçadas e ninguém de direito toma acções concretas. É preciso mudar, agir, tomando acções concretas que punam e responsabilizam os promotores de toda a violência contra as mulheres. É preciso educar a sociedade a compreender que homem e mulher são seres humanos do mesmo jeito, que a mulher não é um objecto, muito menos propriedade de alguém. É preciso ensinar a pais e os padrinhos que uma filha pode e deve voltar para casa quando o casamento ou a relação não for satisfatória. Que as mulheres não as únicas responsáveis por manter uma relação em pé. Que a Wukate a nva khandzi hi mbilu, que pode desistir sem medo nem vergonha. E que os pais estejam sempre abertos para as receber. Que o simples de facto de abrir a porta de casa para ela voltar pode lhe salva a vida, alias, mais vale voltar de mão abanadas do que num caixão.",,Portugues
sociedade,31,enriquecendo o participação activo de o,sociedade,civil para promoção de o igualdade,"Teatro sobre uniões prematuras em na Escola Secundária de Metuchira O grupo teatral Anjos da Guarda realizou uma peça de teatral sobre uniões_prematuras na Escola Secundária de Metuchira, no distrito de Nhamatanda, na província de Sofala, a 31 de Março. A peça teatral foi organizada pelo Rede_de_Protecção_da_Criança em Sofala (SOPROC) no âmbito do projecto Enriquecendo a participação activa da sociedade civil para promoção da Igualdade de Género e o Empoderamento das mulheres e Raparigas do Programa de Apoio aos Actores Não Estatais (PAANE). A peça retrata uma situação em que pais de uma menor de 13 anos entregam sua filha para um casamento forçado com um senhor de 40 anos em troca de dinheiro e bens materiais. No processo de entrega da menor para o suposto marido, um director da escola local cooperou com a união_prematura. Contudo uma activista identificou o caso e encaminhou para as autoridades competentes e todos foram responsabilizados pelos seus actos. Estiveram no local para assistir a peça teatral cerca de 1500 alunos das 7ª a 12ª classe, dos 14 a 22 anos, 5 professores e 2 pontos focais da SOPROC do distrito. Se refere que o projecto é implementado pelo consórcio composto pelas organizações Fórum_Mulher, WLSA Moçambique, Fórum da Sociedade Civil para os Direitos da Criança (ROSC), Associação_Moçambicana_de_Mulheres_de_Carreira_Jurídica (AMMCJ), Fórum_das_Associações_Femininas_de_Inhambane (FAFI), Fórum_Organizações Femininas_do_Niassa (FOFEN), Associação_de_Mulheres_Paralegais_de_Tete (AMPT), Rede_de_Protecção_da_Criança em Sofala (SOPROC), e o Centro_Informazione_e_Educazione Allo Sviluppo ONLUS (CIES), que conta com apoio da União_Europeia em Moçambique, no contexto (PAANE II).",,Portugues
