idioma,texto_entidade,tipo_entidade,contexto
pt,Silvia Federici,PER,"Isso que chamam de amor é trabalho não pago, Silvia Federici."
pt,Silvia Federicci,PER,"Para a autora Silvia Federicci o trabalho_doméstico é o mais importante da sociedade, pois dá origem aos trabalhadores, e sem eles, não há trabalho."
pt,padrão_de_beleza,ORG,A ideia não é julgar quem se adequa cotidianamente ao padrão_de_beleza.
pt,Damia,PER,Foi só a mexicana Damia entrar no BBB_23 que a gente assistiu ao maior exemplo de como mulheres são tratadas como pedaço_de_carne.
pt,BBB_23,LOC,Foi só a mexicana Damia entrar no BBB_23 que a gente assistiu ao maior exemplo de como mulheres são tratadas como pedaço_de_carne.
pt,Sapato,PER,Guimê e Sapato disputaram quem colocaria Damia em uma pior situação de assédio.
pt,Damia,PER,Guimê e Sapato disputaram quem colocaria Damia em uma pior situação de assédio.
pt,Lexa,PER,"Guimê, casado, expõe a esposa Lexa, aqui fora, ao constrangimento de lidar com uma responsabilidade que não é dela, com a culpabilização por ter confiado em um homem que estaria cercado por câmeras e mesmo assim não se intimidou ao assediar."
pt,Helena.milanez,PER,"Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com."
pt,pix FaunaMiniaturas@gmail.com,ORG,"Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com."
pt,Anitta,PER,"Coloquei a Anitta porque tinha muita gente usando ela como exemplo pra desqualificar a problematização da objetificação, e eu acredito que exista diferença em uma pessoa com carreira de música postar foto da própria bunda e um cara que posta fotos de bundas de mulheres que só estão lá por serem gostosas."
pt,Anitta,LOC,Mas entendo que a questão Anitta é controversa.
pt,Daniel Alves,PER,"Desde a denúncia de estupro contra o jogador Daniel Alves, a defesa apresenta versões diferentes e que se contradizem."
pt,Daniel Alves,PER,Médicos e especialistas caracterizaram como absurda a tentativa de manipular um provável mecanismo de defesa do corpo_da_mulher para inocentar Daniel Alves.
pt,Britney Spears,PER,"Britney Spears ilustra algumas das situações de assédio e misoginia que a cantora foi vítima, como quando um apresentador perguntou se ela ainda era virgem e outro questionou sobre o tamanho de seus seios."
pt,misoginia,LOC,"Britney Spears ilustra algumas das situações de assédio e misoginia que a cantora foi vítima, como quando um apresentador perguntou se ela ainda era virgem e outro questionou sobre o tamanho de seus seios."
