idioma,texto_entidade,tipo_entidade,contexto
es,hábitos_saludables,PER,"El texto señala explícitamente: junto con cuidar a nuestras familias, y a quienes viven en nuestros hogares con comida y hábitos_saludables, el aspecto, aunque puertas adentro, debe mostrar cuidado. ¿"
es,¿,LOC,"El texto señala explícitamente: junto con cuidar a nuestras familias, y a quienes viven en nuestros hogares con comida y hábitos_saludables, el aspecto, aunque puertas adentro, debe mostrar cuidado. ¿"
es,Basta,ORG,Basta de estos mensajes que no hacen nada más que violentarnos.
es,bikini,PER,"Mientras los hombres pueden usar pantalones cortos sobre la rodilla y camisetas de manga_corta, las mujeres que practican balonmano_playa deben usar peto y bikini siguiendo estrictos lineamientos: no deben medir más de 10 centímetros de ancho en el costado. ¿"
es,¿,LOC,"Mientras los hombres pueden usar pantalones cortos sobre la rodilla y camisetas de manga_corta, las mujeres que practican balonmano_playa deben usar peto y bikini siguiendo estrictos lineamientos: no deben medir más de 10 centímetros de ancho en el costado. ¿"
es,Cuál,LOC,Cuál es la explicación lógica detrás de esta normativa?
es,Aparentemente,PER,"Aparentemente, ninguna."
es,Noruega,LOC,"De hecho, la selección_femenina de balonmano_playa de Noruega decidió presentarse a un partido usando calzas, dado que con esa vestimenta se sienten más cómodas y les permite jugar sin problemas ¿Cuál fue la respuesta de la Federación de este deporte?"
es,¿Cuál,LOC,"De hecho, la selección_femenina de balonmano_playa de Noruega decidió presentarse a un partido usando calzas, dado que con esa vestimenta se sienten más cómodas y les permite jugar sin problemas ¿Cuál fue la respuesta de la Federación de este deporte?"
es,Federación,ORG,"De hecho, la selección_femenina de balonmano_playa de Noruega decidió presentarse a un partido usando calzas, dado que con esa vestimenta se sienten más cómodas y les permite jugar sin problemas ¿Cuál fue la respuesta de la Federación de este deporte?"
es,¿,LOC,Una multa y la amenaza de descalificarlas del campeonato si se niegan a utilizar el uniforme que indica la norma. ¿
es,¿Qué,PER,Entonces nos preguntamos: ¿Qué nivel de exposición implica que un entrevistador le pregunta directamente a una invitada si está usando ropa_interior? ¿
es,Cómo,LOC,Cómo podemos hablar de consentimiento y conductas_abusivas cuando se normaliza que un notero pueda besar sin consentimiento a su entrevistada y esto sea avalado mediante la risa por algunos de quienes conducen el programa?
es,Autora de El_Segundo_Sexo,ORG,"Autora de El_Segundo_Sexo, 1949, la escritora es un referente fundamental del feminismo_moderno e inspiración para las mujeres y el cuestionamiento de su rol en la sociedad."
es,feminismo_moderno,LOC,"Autora de El_Segundo_Sexo, 1949, la escritora es un referente fundamental del feminismo_moderno e inspiración para las mujeres y el cuestionamiento de su rol en la sociedad."
es,Progreso_de_las_Personas_de_Color,LOC,Fue una de las fundadoras de la Asociación_Nacional para el Progreso_de_las_Personas_de_Color y parte del movimiento sufragista_estadounidense.
es,Además,PER,"Además se encargó de documentar cientos de casos de linchamientos raciales, lo cual le valió un reconocimiento póstumo en la entrega de los premios_Pulitzer de este año."
es,Ida,LOC,"Ida nació en Mississipi, hija de una pareja de ex_esclavos liberados tras la Guerra_de_Secesión."
es,Mississipi,LOC,"Ida nació en Mississipi, hija de una pareja de ex_esclavos liberados tras la Guerra_de_Secesión."
es,Wells,PER,"En 1880 Wells se trasladó a Memphis y ahí adquirió conocimiento público tras liderar una campaña en contra de la segregación_racial en el ferrocarril, luego de que fuera forzada a ceder su asiento a un hombre blanco."
es,Memphis,LOC,"En 1880 Wells se trasladó a Memphis y ahí adquirió conocimiento público tras liderar una campaña en contra de la segregación_racial en el ferrocarril, luego de que fuera forzada a ceder su asiento a un hombre blanco."
es,Contrató,PER,"Contrató un abogado para demandar a la compañía de ferrocarril y ganó el caso en el tribunal local, pero luego la compañía apeló en la Corte_Suprema de Tennessee y la sentencia fue anulada."
es,Tennessee,LOC,"Contrató un abogado para demandar a la compañía de ferrocarril y ganó el caso en el tribunal local, pero luego la compañía apeló en la Corte_Suprema de Tennessee y la sentencia fue anulada."
es,negó,PER,"Luego, durante unas manifestaciones a favor del voto_femenino se negó a marchar más atrás por ser de color."
es,empezó,PER,"En 1889 empezó a ser copropietaria y redactora de Free_Speech, un periódico en contra de la segregación."
es,Free_Speech,ORG,"En 1889 empezó a ser copropietaria y redactora de Free_Speech, un periódico en contra de la segregación."
es,Wells,PER,Wells entonces trasladó su residencia a Chicago.
es,Chicago,LOC,Wells entonces trasladó su residencia a Chicago.
es,Wells,PER,Luego de jubilarse Wells escribió su autobiografía titulada Cruzada_por_la_justicia.
