idioma,texto_entidade,tipo_entidade,contexto
es,Ayer,PER,Ayer subí un post sobre la depilación y muchas confesásteis que lo hacíais por los demás.
es,Luchar,PER,Luchar contra una imposición tan grande es muy difícil.
es,Nuestros,PER,Nuestros gustos y preferencias no nos definen ¡Etiqueta a las rebeldes que conozcas!
es,Ponte,PER,"Ponte lo que te de la gana amiga pero dale una vuelta a este tema, que la sociedad nos deja el cerebro frito y ya dejamos de saber por qué y para quién hacemos las cosas."
es,Nos,PER,"Nos vestimos como nos gusta, nos ponemos el look que nos encanta, hacemos lo que nos da la gana y nada ni nadie nos manda."
es,Nuestras,PER,"Nuestras alas no son para que nadie las enjaule, sino para volar en libertad."
es,¿Qué,ORG,Y sigue ¿Qué más misoginadas habéis oído?
es,Completa,PER,"Completa la lista y riámonos un poco, no queda otra."
es,Coeducación,LOC,"Por ello contamos con la Coeducación como única herramienta para cambiar el sistema, poniendo fin a los estereotipos_sexistas y desarticular el patriarcado."
es,Radiojaputa,LOC,En Radiojaputa hemos hablado de coeducación en los podcast 144 Especial Docentes_Feministas entrevistando profesora.
es,Especial Ley_Trans,ORG,El 147 y en el 113 Especial Ley_Trans que hablamos con maestra y activista_feminista.
es,Procuraba,ORG,Procuraba usar sujetadores de relleno y poca ropa entallada.
es,Además,PER,"Además, no había nada que sujetar."
es,Fijarme,ORG,Fijarme en cómo eran las mujeres que no aparecen en las revistas solo tienes que pasear por la calle y mirar la variedad de cuerpos que existe. ¡
es,acompañar,LOC,"Te lo dio la naturaleza de forma aleatoria y es lo único que seguro seguro te va a acompañar toda la vida, así que por salud aprende a quererlo y luchar contra los mensajes que intenten minar tu autoestima."
es,¿,LOC,"Y mientras, las calles, los anuncios, las portadas de revistas, los congresos y los eventos deportivos llenos de mujeres cosificadas. ¿"
es,Queda,LOC,"Queda prácticamente por encima de todo, incluso tiene mayor importancia que nuestras habilidades en muchísimos casos."
es,super_héroes,PER,"Un buen ejemplo son las películas de super_héroes, que hacen soñar a niños y niñas, aún libres de la cárcel de la realidad."
es,super_heroínas,LOC,"Solo hay dos películas centradas en super_heroínas: Wonder_Woman y Capitana_Marvel, que reciben comentarios constantes sobre el físico Viuda_negra y Wonder_Woman, que aunque estén luchando para salvar el mundo están cosificadadas, llevan tacones, falda o maquillaje."
es,Viuda_negra,PER,"Solo hay dos películas centradas en super_heroínas: Wonder_Woman y Capitana_Marvel, que reciben comentarios constantes sobre el físico Viuda_negra y Wonder_Woman, que aunque estén luchando para salvar el mundo están cosificadadas, llevan tacones, falda o maquillaje."
es,Hollywood,LOC,"Y lo más importante que tenemos que tener presente es que esas grandes empresas de Hollywood de poder incalculable, están dirigidas por hombres dispuestos a mantener sus privilegios a cualquier precio."
es,¿Demasiados,ORG,En otra ocasión me dijeron: tienes demasiadas pecas y lunares ¿Demasiados para qué?
es,Pocas,PER,"Pocas tetas, mucho culo, poco bronceada, muy lacio, sin curvas, muy fofo, poco curvo, sin brillo, muy caído, tan canoso, muy desigual, poco vigoroso."
es,¿,LOC,"y lo que es mejor, ¿por qué he de obedecer y encajar con tu mierda de canon de belleza?"
es,Deconstrúyete,ORG,Deconstrúyete y hablemos de las cosas importantes de la vida.
es,Educar,LOC,"Educar en valores, en respeto y en igualdad."
es,Podría,PER,Podría seguir y seguir y seguir.
es,Además,PER,"Además, la supuesta personalidad tímida de ella choca con esta prenda_interior, lo cual indica que se había preparado para ello, para ser violada."
es,Ocurrió,ORG,"Ocurrió en Ica, Perú."
es,Ica,LOC,"Ocurrió en Ica, Perú."
es,Perú,LOC,"Ocurrió en Ica, Perú."
es,Dejo,LOC,Dejo noticia un par de días en mi bio.
es,tanga,LOC,"Con bragas, con tanga, culotte, con ropa_interior que cubra hasta los tobillos, o sin ropa_interior, nada, absolutamente nada justifica una violación."
es,culotte,LOC,"Con bragas, con tanga, culotte, con ropa_interior que cubra hasta los tobillos, o sin ropa_interior, nada, absolutamente nada justifica una violación."
es,Fujimori,PER,"Durante la década de 1990 Fujimori implantó en Perú un programa_nacional para la esterilización_forzosa de mujeres indígenas, y de mujeres pobres en general, por el que se estima que fueron esterilizadas 270_000 mujeres entre 1996 y 2001."
es,Perú,LOC,"Durante la década de 1990 Fujimori implantó en Perú un programa_nacional para la esterilización_forzosa de mujeres indígenas, y de mujeres pobres en general, por el que se estima que fueron esterilizadas 270_000 mujeres entre 1996 y 2001."
es,Ayúdame,PER,Ayúdame a desmontarlos compartiendo esta info.
es,¿,LOC,Os ha pasado alguna vez? ¿
es,Comparte,ORG,Comparte tu experiencia para ayudarnos entre todas.
es,Ayer,ORG,Ayer pregunté en stories y Compartid experiencias en los comentarios para que todas podamos aprender.
es,Compartid,PER,Ayer pregunté en stories y Compartid experiencias en los comentarios para que todas podamos aprender.
es,Consejo!,ORG,¡Consejo!
es,Desgraciadamente,LOC,Desgraciadamente es así.
es,Crecen,LOC,Crecen creyendo que su rabo lo puede todo y les pertenece todo.
es,¿Influencers_feministas,ORG,¿Influencers_feministas? ¡
es,Pongamos,PER,Pongamos a más de una en nuestras vidas!
es,Etiqueta,PER,"Etiqueta a tu influencer_feminista, tenga 1 millón de followers o apenas una docena."
es,Radiojaputa 8,LOC,"Ya hemos hablado en otras ocasiones de stealthing, concretamente en el Radiojaputa 8 y en el Radiojaputa 101, pero por si todavía hay quien tiene dudas, lo hemos incluido en nuestro diccionario_feminista."
es,Radiojaputa 101,LOC,"Ya hemos hablado en otras ocasiones de stealthing, concretamente en el Radiojaputa 8 y en el Radiojaputa 101, pero por si todavía hay quien tiene dudas, lo hemos incluido en nuestro diccionario_feminista."
es,Abrazos,PER,Abrazos compañeras.
es,¿,LOC,"Amigas, ¿de qué otras formas os ha salvado el feminismo?"
es,Etiqueta,LOC,Etiqueta a las amigas a las que pueda interesarles esta info.
es,Dejo,PER,Dejo esto por aquí para recordarnos que mejor sola que con un machista.
es,Tinder,LOC,"Señordos, que ponen en Tinder que quieren mujeres sin traumas."
es,apps_de_ligue,ORG,"Con ella hablamos de las apps_de_ligue, del mito del amor_romántic  y de cómo afecta la salud_mental de las mujeres."
es,Descubrimos,PER,"Descubrimos las consecuencias que sufren las mujeres que han estado expuestas a este tipo de maltrato, y lo hacemos acompañadas de Sol_Andrés, profesora de Psicología_Evolutiva y Psicología_Forense."
es,Coronado,PER,"Por mucho que los suavones, aquí símil de Ángel_Martín, me provoquen un profundo rechazo, porque ya una no necesita empezar una relación con un suavón para saber que, efectivamente, son un aliado del tipo el que tengo aquí colgado, un tío aparentemente integrado en esferas_progresistas porque sabe vestirse de decente y repetir algunas consignas_feministas, y por mucho asquete que me den, no podía desecharlos tan rápidamente porque la alternativa era decantarme por los ramplones, interpretados fielmente por Coronado en este caso."
es,¿,LOC,"Y tú, ¿qué eliges?"
es,También,PER,"También sería interesante explorar otras fórmulas_de_crianza, como las colectivas, ¿qué pensáis sobre eso?"
es,¿,LOC,"También sería interesante explorar otras fórmulas_de_crianza, como las colectivas, ¿qué pensáis sobre eso?"
es,Etiqueta,PER,Etiqueta a las madres que conozcas que no se ajustan al modelo_tradicional.
es,Qué,LOC,Qué es estar sola?
