idioma,texto_entidade,tipo_entidade,contexto
pt,Moçambicano,PER,No sistema jurídico Moçambicano a violação_sexual consta na Lei sobre Violência_Doméstica prática contra a Mulher e no Código Penal.
pt,Liberdade Sexual,LOC,"No Código Penal, a violação_sexual é retratada no capítulo 7 referente aos Crimes contra a Liberdade Sexual."
pt,INVISTA,ORG,INVISTA!
pt,Género,LOC,Promover programas e acções contínuas viradas para o empoderamento das mulheres e raparigas é contribuir directamente na redução da Violência Baseada no Género (VBG).
pt,VBG,ORG,Promover programas e acções contínuas viradas para o empoderamento das mulheres e raparigas é contribuir directamente na redução da Violência Baseada no Género (VBG).
pt,Idosos,LOC,"Sabias que no primeiro trimestre de 2023 foram reportados um total de 2.903 casos de violência_doméstica, dos quais, 86 casos foram contra crianças (52 raparigas e 34 rapazes), 2.691 contra adultos (2.258 mulheres e 433 homens) e 126 contra Idosos (74 mulheres e 52 homens), equivalentes a 3 porcento, 92.7 porcento e 4.3 porcento, respectivamente."
pt,Departamento de Atendimento,ORG,"Espelhando apenas uma pequena porção dos casos tramitados pelo Departamento de Atendimento às Vítimas de Violência, estes dados espelham o quão a mulher continua a maior vítima representando 86.2 porcento das vítimas entre adultos."
pt,Vítimas de Violência,LOC,"Espelhando apenas uma pequena porção dos casos tramitados pelo Departamento de Atendimento às Vítimas de Violência, estes dados espelham o quão a mulher continua a maior vítima representando 86.2 porcento das vítimas entre adultos."
pt,Mulher Vítima de Violência,ORG,"Apesar da aprovação da lei 29/2009 de 29 de Setembro e da criação do Mecanismo Multissectorialde Atendimento à Mulher Vítima de Violência em 2012, o extremismo violento têm estado a ganhar corpo incluindo nos discursos das redes sociais e as mulheres tendem a ser novamente culpabilizadas pela violência que sofrem. ("
pt,Cidade de Maputo,LOC,"Teve no dia 02 de Dezembro na Cidade de Maputo, o Fórum Anual do Gabinete da Mulher Parlamentar."
pt,Fórum Anual do Gabinete da Mulher Parlamentar,LOC,"Teve no dia 02 de Dezembro na Cidade de Maputo, o Fórum Anual do Gabinete da Mulher Parlamentar."
pt,Barómetro das Mulheres,LOC,"Na ocasião, as mulheres parlamentares apresentaram o portal do Barómetro das Mulheres no seu relatório de trabalho anual."
pt,Observatório das Mulheres,LOC,"Paralelamente, ao Observatório das Mulheres foi conferido um espaço para abordar a temática: Barómetro das Mulheres e a situação da Violência: o que as mulheres esperam das Parlamentares?."
pt,Barómetro das Mulheres,LOC,"Paralelamente, ao Observatório das Mulheres foi conferido um espaço para abordar a temática: Barómetro das Mulheres e a situação da Violência: o que as mulheres esperam das Parlamentares?."
pt,Violência,LOC,"Paralelamente, ao Observatório das Mulheres foi conferido um espaço para abordar a temática: Barómetro das Mulheres e a situação da Violência: o que as mulheres esperam das Parlamentares?."
pt,Moçambicanas,ORG,"Na sequência, foi sugerido um maior engajamento das mulheres parlamentares para servirem de ponte e voz das mulheres Moçambicanas quer através de seguimento dos casos e visitas às vítimas, quer através de diálogos periódicos públicos e abertos com o movimento da sociedade civil que advoga pelos direitos das mulheres em cada círculo eleitoral."
pt,Parlamentares,LOC,"As Parlamentares receberam com apreço, reconheceram os desafios, fizeram compromissos e sublinharam que o homem parlamentar deve também fazer parte deste diálogo porque é por vezes parte do problema."
pt,Dra,PER,"O evento, presidido pela Presidente da Assembleia da República, Dra."
pt,Esperança Bias,PER,"Esperança Bias, contou igualmente com a presença da Ministra do Género, Criança e Acção Social, bem como de parceiros."
pt,Ministra do Género,LOC,"Esperança Bias, contou igualmente com a presença da Ministra do Género, Criança e Acção Social, bem como de parceiros."
pt,Criança,LOC,"Esperança Bias, contou igualmente com a presença da Ministra do Género, Criança e Acção Social, bem como de parceiros."
pt,Acção Social,LOC,"Esperança Bias, contou igualmente com a presença da Ministra do Género, Criança e Acção Social, bem como de parceiros."
pt,Aborto,LOC,O Aborto!
pt,Rapaz,PER,"Senti a dor de ouvir o respirar ensanguentado do meu filho dizer adeus, sim era Rapaz!"
pt,Letícia Argentina,PER,por Letícia Argentina
pt,Saber Nascer,PER,"Saber Nascer e seus parceiros no âmbito da HUMANIZA MOZ, Campanha_Nacional_de_Prevenção_e_Combate_à_Violência_Obstétrica, realiza o primeiro WORKSHOP NACIONAL DE PREVENÇÃO E COMBATE À VIOLÊNCIA OBSTÉTRICA."
pt,SOCORRO,ORG,Nós mulheres e raparigas gritamos por SOCORRO!
pt,Estado,LOC,Um Estado em que mulheres são assassinadas e não há responsabilização é um Estado Inseguro.
pt,Estado Inseguro,LOC,Um Estado em que mulheres são assassinadas e não há responsabilização é um Estado Inseguro.
pt,Constituição_da_República_de_Moçambique,LOC,"E também na Constituição_da_República_de_Moçambique no artigo 40° estabelece que, Todo o cidadão tem direito à vida e à integridade física e moral e não pode ser sujeito à tortura ou tratamentos cruéis ou desumanos."
pt,Salão,LOC,"Aonde iremos nós MULHERES, se no Salão, em Casa ou Rua estamos inseguras."
pt,Casa,LOC,"Aonde iremos nós MULHERES, se no Salão, em Casa ou Rua estamos inseguras."
pt,Rua,LOC,"Aonde iremos nós MULHERES, se no Salão, em Casa ou Rua estamos inseguras."
pt,País,LOC,Sabias que Quem tirar a vida de outrem pode ser punido nos termos da lei penal vigente no País?
pt,Janeiro,LOC,Nos meses de Dezembro de 2023 e Janeiro de 2024 foram registados altos índices de assassinatos macabros de mulheres perpetrados pelos seus cônjuges (marido/ parceiro) segundo o noticiado pelos meios de comunicação social no País.
pt,marido/ parceiro,PER,Nos meses de Dezembro de 2023 e Janeiro de 2024 foram registados altos índices de assassinatos macabros de mulheres perpetrados pelos seus cônjuges (marido/ parceiro) segundo o noticiado pelos meios de comunicação social no País.
pt,País,LOC,Nos meses de Dezembro de 2023 e Janeiro de 2024 foram registados altos índices de assassinatos macabros de mulheres perpetrados pelos seus cônjuges (marido/ parceiro) segundo o noticiado pelos meios de comunicação social no País.
pt,Polícia da República_de_Moçambique,LOC," Neste sentido, instamos a Polícia da República_de_Moçambique a garantir maior segurança e proteção como forma de proteger a integridade física e psicológica das mulheres em Moçambique."
pt,Moçambique,LOC," Neste sentido, instamos a Polícia da República_de_Moçambique a garantir maior segurança e proteção como forma de proteger a integridade física e psicológica das mulheres em Moçambique."
pt,Moçambique,LOC,"Embora Moçambique tenha instrumentos legais que defendem e protegem os direitos humanos das mulheres, na tua opinião que acha que esta a falhar para acabar com essas más práticas?"
pt,Isaura Januário,PER,"Depois de ter assistido a mãe da sua amiga a sofrer violência_doméstica, Isaura Januário (nome fictício), de 17 anos, residente em um dos bairros periféricos da cidade de Nampula, sensibilizou a filha da vítima, por sinal sua amiga Lúcia Rajabo (nome fictício) a solicitar apoio da OPHENTA para denunciar a violência."
pt,Nampula,LOC,"Depois de ter assistido a mãe da sua amiga a sofrer violência_doméstica, Isaura Januário (nome fictício), de 17 anos, residente em um dos bairros periféricos da cidade de Nampula, sensibilizou a filha da vítima, por sinal sua amiga Lúcia Rajabo (nome fictício) a solicitar apoio da OPHENTA para denunciar a violência."
pt,Lúcia Rajabo,PER,"Depois de ter assistido a mãe da sua amiga a sofrer violência_doméstica, Isaura Januário (nome fictício), de 17 anos, residente em um dos bairros periféricos da cidade de Nampula, sensibilizou a filha da vítima, por sinal sua amiga Lúcia Rajabo (nome fictício) a solicitar apoio da OPHENTA para denunciar a violência."
pt,OPHENTA,ORG,"Depois de ter assistido a mãe da sua amiga a sofrer violência_doméstica, Isaura Januário (nome fictício), de 17 anos, residente em um dos bairros periféricos da cidade de Nampula, sensibilizou a filha da vítima, por sinal sua amiga Lúcia Rajabo (nome fictício) a solicitar apoio da OPHENTA para denunciar a violência."
pt,Isaura,LOC," Segundo Isaura, o reclame da Ophenta, com a escrita  a violência é crime e tem lei, Denuncie!"
pt,Ophenta,LOC," Segundo Isaura, o reclame da Ophenta, com a escrita  a violência é crime e tem lei, Denuncie!"
pt,Violência,LOC,"Violência não tem desculpa, tem lei!"
pt,Polícia,ORG,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,Janeiro,LOC,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,Procuradoria da Cidade de Maputo,LOC,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,PRM,ORG,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,Polícia Municipal,LOC,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,Observatório,LOC,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,ActionAid,LOC,"Participação criminal contra a Polícia por interferência no direito a manifestação O Observatório das Mulheres depositou hoje, 31 de Janeiro de 2021, na Procuradoria da Cidade de Maputo, uma participação criminal contra agentes da PRM e da Polícia Municipal pela prática dos crimes de desobediência, prisão ilegal, requisição de força pública e difamação no quadro da manifestação promovido pelo Observatório e ActionAid, inviabilizada no dia 07 de Dezembro último."
pt,Constituição da República,ORG,"As ofendidas requereram ainda, nos termos do art. 58 da Constituição da República, do art. 80 do Código de Processo Penal, do art. 70 do Código Civil a responsabilização do Estado pelas práticas ilegais dos seus agentes."
pt,Estado,LOC,"As ofendidas requereram ainda, nos termos do art. 58 da Constituição da República, do art. 80 do Código de Processo Penal, do art. 70 do Código Civil a responsabilização do Estado pelas práticas ilegais dos seus agentes."
pt,Ericino de Salema & Associados Advogados,LOC,Neste acto as ofendidas são representadas pela Ericino de Salema & Associados Advogados a título pro Bono na convicção de que esta acção se reveste de carácter didático de responsabilização criminal em prol de todas e todos que futuramente queiram exercer o seu direito de manifestação sem temer aqueles que tem o dever de proteger.
pt,Bono,PER,Neste acto as ofendidas são representadas pela Ericino de Salema & Associados Advogados a título pro Bono na convicção de que esta acção se reveste de carácter didático de responsabilização criminal em prol de todas e todos que futuramente queiram exercer o seu direito de manifestação sem temer aqueles que tem o dever de proteger.
pt,Edson Nhassengo,PER,"Decorreu ontem (31 de janeiro de 2024),  a  Conferência_de_Imprensa de posicionamento que juntou 55 organizações da sociedade civil, movimentos e colectivos de mulheres e activistas sobre a libertação e posterior apreensão do Edson Nhassengo, assassino da Celina Nhambe."
pt,Celina Nhambe,PER,"Decorreu ontem (31 de janeiro de 2024),  a  Conferência_de_Imprensa de posicionamento que juntou 55 organizações da sociedade civil, movimentos e colectivos de mulheres e activistas sobre a libertação e posterior apreensão do Edson Nhassengo, assassino da Celina Nhambe."
pt,Parlamento,ORG,"Esta campanha  tem como objectivo pôr fim à impunidade aos casos de assassinato de mulheres e raparigas à escala nacional,  instar as mulheres em posição de decisão, o Parlamento, no Judicial, nas confissões religiosas e nos mais variados espaços de poder e de participação parase unirem à campanha e acabar com toda esta violência."
pt,Judicial,LOC,"Esta campanha  tem como objectivo pôr fim à impunidade aos casos de assassinato de mulheres e raparigas à escala nacional,  instar as mulheres em posição de decisão, o Parlamento, no Judicial, nas confissões religiosas e nos mais variados espaços de poder e de participação parase unirem à campanha e acabar com toda esta violência."
pt,Activismo,PER,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,25 de Dezembro,ORG,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,Praça da Independência,LOC,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,Galeria do Porto de Maputo,LOC,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,Festival,LOC,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,Rede_Hopem,ORG,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,ROSC,ORG,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,Maputo,LOC,"Marcha de inicio dos 16 dias de Activismo realizada no dia 25 de Dezembro, com inicio na Praça da Independência e culminou  na Galeria do Porto de Maputo com o Festival que contou com vários artistas, organizada pelo Fórum_Mulher, Rede_Hopem e ROSC em Maputo."
pt,Moçambique,LOC,"Posicionamento público em relação aos direitos humanos em Moçambique e homenagem a todas as vítimas de violência, repressão e intimidação."
pt,Secretária Executiva,LOC,"Intervenção da  Quitéria Guirengane, Secretária Executiva do Observatório das Mulheres mencionou  que..  achamos interessante não só apresentar a exposição digital  mas acima de tudo fazer uma chamada para acção e pedir este compromisso de todos actores_chaves."
pt,Observatório das Mulheres,LOC,"Intervenção da  Quitéria Guirengane, Secretária Executiva do Observatório das Mulheres mencionou  que..  achamos interessante não só apresentar a exposição digital  mas acima de tudo fazer uma chamada para acção e pedir este compromisso de todos actores_chaves."
pt,Mãe Áfricana,PER,"Mãe Áfricana/Ela não tem medo do que há de vir a acontecer amanhã;/ Ela acredita que pode não mais partir de manhã/ Mas mesmo assim, ela prepara suas forças e amamenta seu ninho/ Numa noite de guerra, sem carinho./ Das vezes que precisa chorar, ela não tem medo de chorar/ As mães de África aprenderam logo cedo que chorar é respirar a alma./ Os olhos precisam dizer o que nos mata e acalma/ As mães de África aprenderam também a moer as incertezas para as cozinha na panela da vitória./ Mãe Áfricana não sabe dizer adeus,/ Quando se vai em corpo, sua alma fica nos lembrando das suas lutas armadas./ Uma mulher africana é uma flor eternamente amada/ Em África, não se abandona as pessoas, Um dia precisamos delas!/ Quando se pode declarar uma vitória tão sólida sem as mulheres? /"
pt,África,LOC,"Mãe Áfricana/Ela não tem medo do que há de vir a acontecer amanhã;/ Ela acredita que pode não mais partir de manhã/ Mas mesmo assim, ela prepara suas forças e amamenta seu ninho/ Numa noite de guerra, sem carinho./ Das vezes que precisa chorar, ela não tem medo de chorar/ As mães de África aprenderam logo cedo que chorar é respirar a alma./ Os olhos precisam dizer o que nos mata e acalma/ As mães de África aprenderam também a moer as incertezas para as cozinha na panela da vitória./ Mãe Áfricana não sabe dizer adeus,/ Quando se vai em corpo, sua alma fica nos lembrando das suas lutas armadas./ Uma mulher africana é uma flor eternamente amada/ Em África, não se abandona as pessoas, Um dia precisamos delas!/ Quando se pode declarar uma vitória tão sólida sem as mulheres? /"
pt,África,LOC,"Mãe Áfricana/Ela não tem medo do que há de vir a acontecer amanhã;/ Ela acredita que pode não mais partir de manhã/ Mas mesmo assim, ela prepara suas forças e amamenta seu ninho/ Numa noite de guerra, sem carinho./ Das vezes que precisa chorar, ela não tem medo de chorar/ As mães de África aprenderam logo cedo que chorar é respirar a alma./ Os olhos precisam dizer o que nos mata e acalma/ As mães de África aprenderam também a moer as incertezas para as cozinha na panela da vitória./ Mãe Áfricana não sabe dizer adeus,/ Quando se vai em corpo, sua alma fica nos lembrando das suas lutas armadas./ Uma mulher africana é uma flor eternamente amada/ Em África, não se abandona as pessoas, Um dia precisamos delas!/ Quando se pode declarar uma vitória tão sólida sem as mulheres? /"
pt,Mãe Áfricana,PER,"Mãe Áfricana/Ela não tem medo do que há de vir a acontecer amanhã;/ Ela acredita que pode não mais partir de manhã/ Mas mesmo assim, ela prepara suas forças e amamenta seu ninho/ Numa noite de guerra, sem carinho./ Das vezes que precisa chorar, ela não tem medo de chorar/ As mães de África aprenderam logo cedo que chorar é respirar a alma./ Os olhos precisam dizer o que nos mata e acalma/ As mães de África aprenderam também a moer as incertezas para as cozinha na panela da vitória./ Mãe Áfricana não sabe dizer adeus,/ Quando se vai em corpo, sua alma fica nos lembrando das suas lutas armadas./ Uma mulher africana é uma flor eternamente amada/ Em África, não se abandona as pessoas, Um dia precisamos delas!/ Quando se pode declarar uma vitória tão sólida sem as mulheres? /"
